,Unnamed: 0,index,block,trial_type,cue,stimulus_intensity,ITI,Event1Dur,ISI1,Event2Dur,ISI2,Event3Dur,ISI3,Event4Dur,cue_image,stim_num,same_diff,image_filename,onset_ITI,onset_ev01,onset_ISI1,onset_ev02,onset_ISI2,onset_ev03,onset_ISI3,onset_ev04
0,32,48,5,5.0,high_cue,med_stim,7.0,1.0,1.7,4.0,2.1,9.0,1.8,4.0,h052.png,39,diff,39_100_R.jpg,7.0,8.0,9.7,13.7,15.799999999999999,24.799999999999997,26.599999999999998,30.599999999999998
1,8,49,5,6.0,high_cue,high_stim,1.4,1.0,0.5,4.0,2.1,9.0,1.4,4.0,h010.png,12,diff,12_150_R.jpg,31.999999999999996,33.0,33.5,37.5,39.599999999999994,48.599999999999994,50.0,54.0
2,44,50,5,3.0,low_cue,high_stim,3.9,1.0,1.1,4.0,2.2,9.0,2.8,4.0,l055.png,43,same,43_150.jpg,57.9,58.9,60.0,64.0,66.2,75.2,78.0,82.0
3,20,51,5,4.0,high_cue,low_stim,5.3,1.0,2.9,4.0,4.2,9.0,1.4,4.0,h003.png,8,diff,8_50_R.jpg,87.3,88.3,91.2,95.2,99.4,108.4,109.8,113.8
4,33,52,5,5.0,high_cue,med_stim,2.0,1.0,2.9,4.0,5.1,9.0,2.8,4.0,h035.png,41,diff,41_100_R.jpg,115.8,116.8,119.7,123.7,128.8,137.8,140.6,144.6
5,56,53,5,1.0,low_cue,low_stim,10.2,1.0,2.9,4.0,0.9,9.0,2.9,4.0,l054.png,4,same,4_50.jpg,154.79999999999998,155.79999999999998,158.7,162.7,163.6,172.6,175.5,179.5
6,68,54,5,2.0,low_cue,med_stim,2.6,1.0,0.5,4.0,7.9,9.0,11.8,4.0,l020.png,4,same,4_100.jpg,182.1,183.1,183.6,187.6,195.5,204.5,216.3,220.3
7,69,55,5,2.0,low_cue,med_stim,2.0,1.0,1.1,4.0,6.9,9.0,2.9,4.0,l044.png,43,same,43_100.jpg,222.3,223.3,224.4,228.4,235.3,244.3,247.20000000000002,251.20000000000002
8,9,56,5,6.0,high_cue,high_stim,2.0,1.0,1.7,4.0,6.9,9.0,4.6,4.0,h018.png,31,same,31_150.jpg,253.20000000000002,254.20000000000002,255.9,259.90000000000003,266.8,275.8,280.40000000000003,284.40000000000003
9,57,57,5,1.0,low_cue,low_stim,4.4,1.0,1.2,4.0,5.1,9.0,8.0,4.0,l023.png,31,diff,31_50_R.jpg,288.8,289.8,291.00000000000006,295.00000000000006,300.1,309.1,317.1,321.1
10,21,58,5,4.0,high_cue,low_stim,12.7,1.0,0.7,4.0,6.1,9.0,6.1,4.0,h050.png,41,diff,41_50_R.jpg,333.8,334.8,335.5,339.5,345.6,354.6,360.70000000000005,364.70000000000005
11,45,59,5,3.0,low_cue,high_stim,0.5,1.0,0.8,4.0,4.5,9.0,7.5,4.0,l013.png,4,same,4_150.jpg,365.20000000000005,366.20000000000005,367.00000000000006,371.00000000000006,375.50000000000006,384.50000000000006,392.00000000000006,396.00000000000006
