,Unnamed: 0,index,block,trial_type,cue,stimulus_intensity,ITI,Event1Dur,ISI1,Event2Dur,ISI2,Event3Dur,ISI3,Event4Dur,cue_image,stim_num,same_diff,image_filename,onset_ITI,onset_ev01,onset_ISI1,onset_ev02,onset_ISI2,onset_ev03,onset_ISI3,onset_ev04
0,54,36,4,1.0,low_cue,low_stim,8.8,1.0,2.2,4.0,0.7,9.0,8.4,4.0,l042.png,24,same,24_50.jpg,8.8,9.8,12.0,16.0,16.7,25.7,34.1,38.1
1,30,37,4,5.0,high_cue,med_stim,1.5,1.0,0.8,4.0,7.3,9.0,3.0,4.0,h029.png,19,diff,19_100_R.jpg,39.6,40.6,41.4,45.4,52.7,61.7,64.7,68.7
2,18,38,4,4.0,high_cue,low_stim,2.7,1.0,2.2,4.0,1.7,9.0,4.5,4.0,h025.png,35,diff,35_50_R.jpg,71.4,72.4,74.60000000000001,78.60000000000001,80.3,89.30000000000001,93.80000000000001,97.80000000000001
3,6,39,4,6.0,high_cue,high_stim,10.0,1.0,1.7,4.0,0.7,9.0,6.2,4.0,h024.png,19,diff,19_150_R.jpg,107.80000000000001,108.80000000000001,110.50000000000001,114.50000000000001,115.20000000000002,124.20000000000002,130.4,134.4
4,66,40,4,2.0,low_cue,med_stim,2.7,1.0,2.2,4.0,7.7,9.0,1.9,4.0,l040.png,44,same,44_100.jpg,137.1,138.1,140.3,144.3,152.0,161.0,162.9,166.9
5,42,41,4,3.0,low_cue,high_stim,11.6,1.0,1.4,4.0,7.1,9.0,6.6,4.0,l050.png,20,diff,20_150_R.jpg,178.5,179.5,180.9,184.9,192.0,201.0,207.60000000000002,211.60000000000002
6,67,42,4,2.0,low_cue,med_stim,1.7,1.0,1.6,4.0,11.1,9.0,1.7,4.0,l032.png,14,diff,14_100_R.jpg,213.3,214.3,215.90000000000003,219.90000000000003,231.00000000000003,240.00000000000003,241.70000000000002,245.70000000000002
7,43,43,4,3.0,low_cue,high_stim,1.9,1.0,1.7,4.0,6.7,9.0,9.9,4.0,l026.png,24,same,24_150.jpg,247.60000000000002,248.60000000000002,250.3,254.3,261.0,270.0,279.90000000000003,283.90000000000003
8,19,44,4,4.0,high_cue,low_stim,1.0,1.0,0.8,4.0,1.6,9.0,4.1,4.0,h053.png,26,same,26_50.jpg,284.90000000000003,285.90000000000003,286.70000000000005,290.70000000000005,292.3,301.3,305.40000000000003,309.40000000000003
9,7,45,4,6.0,high_cue,high_stim,5.8,1.0,1.6,4.0,1.6,9.0,2.3,4.0,h048.png,44,diff,44_150_R.jpg,315.20000000000005,316.20000000000005,317.8,321.8,323.40000000000003,332.40000000000003,334.70000000000005,338.70000000000005
10,31,46,4,5.0,high_cue,med_stim,2.4,1.0,0.8,4.0,6.1,9.0,1.9,4.0,h056.png,35,diff,35_100_R.jpg,341.1,342.1,342.90000000000003,346.90000000000003,353.00000000000006,362.00000000000006,363.90000000000003,367.90000000000003
11,55,47,4,1.0,low_cue,low_stim,4.1,1.0,0.9,4.0,1.6,9.0,3.5,4.0,l021.png,20,diff,20_50_R.jpg,372.00000000000006,373.00000000000006,373.90000000000003,377.90000000000003,379.50000000000006,388.50000000000006,392.00000000000006,396.00000000000006
