,Unnamed: 0,Event1 onset,Event2 onset,Event3 onset,Event4 onset,Trial type,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue,stimulus_intensity,cue_image,onset_ITI,onset_ev01,onset_ISI1,onset_ev02,onset_ISI2,onset_ev03,onset_ISI3,onset_ev04
0,0,0.0,4.8166,15.5409,27.5014,3.0,1.6,5.2,3.0,2.2,1.0,4.0,9.0,4.0,low_cue,high_stim,l044.png,2.2,3.2,4.800000000000001,8.8,14.0,23.0,26.0,30.0
1,1,33.6925,37.771,49.9799,63.4245,5.0,1.3,6.3,6.5,4.6,1.0,4.0,9.0,4.0,high_cue,med_stim,h047.png,34.6,35.6,36.9,40.9,47.2,56.2,62.7,66.7
2,2,71.9819,76.0605,80.9248,91.3026,1.0,1.3,0.9,1.4,1.2,1.0,4.0,9.0,4.0,low_cue,low_stim,l055.png,67.9,68.9,70.2,74.2,75.10000000000001,84.1,85.5,89.5
3,3,96.4853,101.3019,106.7381,120.1828,4.0,1.6,1.4,6.5,7.9,1.0,4.0,9.0,4.0,high_cue,low_stim,h033.png,97.4,98.4,100.0,104.0,105.4,114.4,120.9,124.9
4,4,132.0991,136.9157,149.1245,160.0425,2.0,1.6,6.3,1.9,4.9,1.0,4.0,9.0,4.0,low_cue,med_stim,l043.png,129.8,130.8,132.4,136.4,142.70000000000002,151.70000000000002,153.6,157.60000000000002
5,5,165.3959,169.4745,179.6692,192.4676,6.0,1.3,6.2,3.8,4.9,1.0,4.0,9.0,4.0,high_cue,high_stim,h053.png,162.50000000000003,163.50000000000003,164.8,168.8,175.00000000000003,184.00000000000003,187.8,191.8
6,6,197.821,202.1566,214.3654,233.2276,1.0,1.4,6.3,9.9,4.8,1.0,4.0,9.0,4.0,low_cue,low_stim,l015.png,196.60000000000002,197.60000000000002,199.0,203.0,209.3,218.3,228.20000000000002,232.20000000000002
7,7,238.5224,243.512,249.8068,263.5259,3.0,1.7,2.3,6.8,1.4,1.0,4.0,9.0,4.0,low_cue,high_stim,l053.png,233.60000000000002,234.60000000000002,236.3,240.3,242.60000000000002,251.60000000000002,258.40000000000003,262.40000000000003
8,8,268.8793,272.0321,280.5778,290.9555,6.0,2.2,4.5,3.5,1.3,1.0,4.0,9.0,4.0,high_cue,high_stim,h015.png,263.70000000000005,264.70000000000005,266.90000000000003,270.90000000000003,275.40000000000003,284.40000000000003,287.90000000000003,291.90000000000003
9,9,296.2503,299.1064,309.3011,321.3978,5.0,1.9,6.2,3.1,9.8,1.0,4.0,9.0,4.0,high_cue,med_stim,h027.png,301.70000000000005,302.70000000000005,304.6,308.6,314.8,323.8,326.90000000000003,330.90000000000003
10,10,331.7145,336.0501,342.3449,356.064,4.0,1.4,2.3,4.7,2.2,1.0,4.0,9.0,4.0,high_cue,low_stim,h010.png,333.1,334.1,335.50000000000006,339.50000000000006,341.8,350.8,355.50000000000006,359.50000000000006
11,11,362.2551,365.4079,375.4961,385.1222,2.0,0.9,6.1,2.7,8.9,1.0,4.0,9.0,4.0,low_cue,med_stim,l021.png,368.40000000000003,369.40000000000003,370.30000000000007,374.30000000000007,380.40000000000003,389.40000000000003,392.1000000000001,396.1000000000001
