,Unnamed: 0,Event1 onset,Event2 onset,Event3 onset,Event4 onset,Trial type,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue,stimulus_intensity,cue_image,onset_ITI,onset_ev01,onset_ISI1,onset_ev02,onset_ISI2,onset_ev03,onset_ISI3,onset_ev04
0,0,0.0,4.4926,12.8822,23.0422,4.0,1.2,6.0,1.2,2.2,1.0,4.0,9.0,4.0,high_cue,low_stim,h045.png,2.2,3.2,4.4,8.4,14.4,23.4,24.599999999999998,28.599999999999998
1,1,29.2026,36.5604,42.2165,52.8381,4.0,2.2,1.7,4.3,8.2,1.0,4.0,9.0,4.0,high_cue,low_stim,h035.png,36.8,37.8,40.0,44.0,45.699999999999996,54.699999999999996,59.0,63.0
2,2,62.2145,66.19,71.8461,82.0061,5.0,1.0,1.7,3.9,6.7,1.0,4.0,9.0,4.0,high_cue,med_stim,h052.png,69.7,70.7,71.7,75.7,77.4,86.4,90.3,94.3
3,3,89.8991,93.8746,99.5307,109.6907,2.0,1.0,1.7,1.2,8.2,1.0,4.0,9.0,4.0,low_cue,med_stim,l046.png,102.5,103.5,104.5,108.5,110.19999999999999,119.19999999999999,120.39999999999999,124.39999999999999
4,4,119.0671,128.4599,144.0913,158.2566,6.0,2.9,11.6,5.2,2.2,1.0,4.0,9.0,4.0,high_cue,high_stim,h007.png,126.6,127.6,130.5,134.5,146.1,155.1,160.29999999999998,164.29999999999998
5,5,164.417,171.7748,179.357,190.1802,3.0,2.2,5.2,1.8,0.8,1.0,4.0,9.0,4.0,low_cue,high_stim,l016.png,165.1,166.1,168.29999999999998,172.29999999999998,177.49999999999997,186.49999999999997,188.29999999999998,192.29999999999998
6,6,194.9673,198.9428,207.7379,221.4882,6.0,1.0,6.4,4.8,5.4,1.0,4.0,9.0,4.0,high_cue,high_stim,h039.png,197.7,198.7,199.7,203.7,210.1,219.1,223.89999999999998,227.89999999999998
7,7,230.8645,238.2223,245.8045,256.4261,5.0,2.2,5.2,4.3,6.3,1.0,4.0,9.0,4.0,high_cue,med_stim,h046.png,234.2,235.2,237.39999999999998,241.39999999999998,246.59999999999997,255.59999999999997,259.9,263.9
8,8,266.72900000000004,274.0868,279.4409,289.6009,1.0,2.2,3.0,1.2,1.8,1.0,4.0,9.0,4.0,low_cue,low_stim,l041.png,265.7,266.7,268.9,272.9,275.9,284.9,286.09999999999997,290.09999999999997
9,9,295.4049,297.3163,305.7059,316.3275,3.0,0.9,4.4,4.3,3.5,1.0,4.0,9.0,4.0,low_cue,high_stim,l021.png,293.59999999999997,294.59999999999997,295.49999999999994,299.49999999999994,303.9,312.9,317.2,321.2
10,10,321.0317,322.7766,330.3588,353.45,1.0,0.7,3.6,16.8,6.7,1.0,4.0,9.0,4.0,low_cue,low_stim,l024.png,327.9,328.9,329.59999999999997,333.59999999999997,337.2,346.2,363.0,367.0
11,11,361.3429,362.9742,370.5564,384.5299,2.0,0.6,3.6,5.0,2.2,1.0,4.0,9.0,4.0,low_cue,med_stim,l049.png,369.2,370.2,370.8,374.8,378.4,387.4,392.4,396.4
