,Unnamed: 0,Event1 onset,Event2 onset,Event3 onset,Event4 onset,Trial type,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue,stimulus_intensity,cue_image,onset_ITI,onset_ev01,onset_ISI1,onset_ev02,onset_ISI2,onset_ev03,onset_ISI3,onset_ev04
0,0,0.0,2.7067,8.7666,19.6078,5.0,1.7,2.1,1.8,7.0,1.0,4.0,9.0,4.0,high_cue,med_stim,h006.png,7.0,8.0,9.7,13.7,15.799999999999999,24.799999999999997,26.599999999999998,30.599999999999998
1,1,27.4858,30.2527,36.3126,46.7383,6.0,0.5,2.1,1.4,1.4,1.0,4.0,9.0,4.0,high_cue,high_stim,h005.png,31.999999999999996,33.0,33.5,37.5,39.599999999999994,48.599999999999994,50.0,54.0
2,2,52.1564,57.2035,63.435,75.2326,3.0,1.1,2.2,2.8,3.9,1.0,4.0,9.0,4.0,low_cue,high_stim,l010.png,57.9,58.9,60.0,64.0,66.2,75.2,78.0,82.0
3,3,83.1107,94.2461,98.8508,109.2765,4.0,2.9,4.2,1.4,5.3,1.0,4.0,9.0,4.0,high_cue,low_stim,h015.png,87.3,88.3,91.2,95.2,99.4,108.4,109.8,113.8
4,4,115.4713,126.6068,135.681,147.4786,5.0,2.9,5.1,2.8,2.0,1.0,4.0,9.0,4.0,high_cue,med_stim,h007.png,115.8,116.8,119.7,123.7,128.8,137.8,140.6,144.6
5,5,153.4823,164.6178,169.5642,181.4502,1.0,2.9,0.9,2.9,10.2,1.0,4.0,9.0,4.0,low_cue,low_stim,l039.png,154.79999999999998,155.79999999999998,158.7,162.7,163.6,172.6,175.5,179.5
6,6,192.5036,195.2705,203.6081,225.0635,2.0,0.5,7.9,11.8,2.6,1.0,4.0,9.0,4.0,low_cue,med_stim,l003.png,182.1,183.1,183.6,187.6,195.5,204.5,216.3,220.3
7,7,231.6292,236.6763,244.0055,255.8915,2.0,1.1,6.9,2.9,2.0,1.0,4.0,9.0,4.0,low_cue,med_stim,l036.png,222.3,223.3,224.4,228.4,235.3,244.3,247.20000000000002,251.20000000000002
8,8,261.9047,264.6114,271.9406,285.5364,6.0,1.7,6.9,4.6,2.0,1.0,4.0,9.0,4.0,high_cue,high_stim,h053.png,253.20000000000002,254.20000000000002,255.9,259.90000000000003,266.8,275.8,280.40000000000003,284.40000000000003
9,9,291.5496,293.7376,302.8118,319.7622,1.0,1.2,5.1,8.0,4.4,1.0,4.0,9.0,4.0,low_cue,low_stim,l037.png,288.8,289.8,291.00000000000006,295.00000000000006,300.1,309.1,317.1,321.1
10,10,325.0515,326.746,336.8601,352.0007,4.0,0.7,6.1,6.1,12.7,1.0,4.0,9.0,4.0,high_cue,low_stim,h031.png,333.8,334.8,335.5,339.5,345.6,354.6,360.70000000000005,364.70000000000005
11,11,365.601,367.4416,372.388,389.3384,3.0,0.8,4.5,7.5,0.5,1.0,4.0,9.0,4.0,low_cue,high_stim,l019.png,365.20000000000005,366.20000000000005,367.00000000000006,371.00000000000006,375.50000000000006,384.50000000000006,392.00000000000006,396.00000000000006
