,Unnamed: 0,Event1 onset,Event2 onset,Event3 onset,Event4 onset,Trial type,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue,stimulus_intensity,cue_image,onset_ITI,onset_ev01,onset_ISI1,onset_ev02,onset_ISI2,onset_ev03,onset_ISI3,onset_ev04
0,0,0.0,2.7067,8.7666,19.6078,5.0,1.7,5.7,1.8,7.0,1.0,4.0,9.0,4.0,high_cue,med_stim,h027.png,7.0,8.0,9.7,13.7,19.4,28.4,30.2,34.2
1,1,27.4858,30.2527,36.3126,46.7383,6.0,0.5,2.1,1.4,4.5,1.0,4.0,9.0,4.0,high_cue,high_stim,h023.png,38.7,39.7,40.2,44.2,46.300000000000004,55.300000000000004,56.7,60.7
2,2,52.1564,57.2035,63.435,75.2326,3.0,1.1,2.2,2.8,3.9,1.0,4.0,9.0,4.0,low_cue,high_stim,l043.png,64.60000000000001,65.60000000000001,66.7,70.7,72.9,81.9,84.7,88.7
3,3,83.1107,94.2461,98.8508,109.2765,4.0,2.9,4.2,1.4,5.3,1.0,4.0,9.0,4.0,high_cue,low_stim,h018.png,94.0,95.0,97.9,101.9,106.1,115.1,116.5,120.5
4,4,115.4713,126.6068,135.681,147.4786,5.0,2.9,8.7,2.8,5.1,1.0,4.0,9.0,4.0,high_cue,med_stim,h053.png,125.6,126.6,129.5,133.5,142.2,151.2,154.0,158.0
5,5,153.4823,164.6178,169.5642,181.4502,1.0,2.9,0.9,2.9,10.2,1.0,4.0,9.0,4.0,low_cue,low_stim,l038.png,168.2,169.2,172.1,176.1,177.0,186.0,188.9,192.9
6,6,192.5036,195.2705,203.6081,225.0635,2.0,0.5,4.3,11.8,2.6,1.0,4.0,9.0,4.0,low_cue,med_stim,l018.png,195.5,196.5,197.0,201.0,205.3,214.3,226.10000000000002,230.10000000000002
7,7,231.6292,236.6763,244.0055,255.8915,2.0,1.1,3.3,2.9,2.0,1.0,4.0,9.0,4.0,low_cue,med_stim,l035.png,232.10000000000002,233.10000000000002,234.20000000000002,238.20000000000002,241.50000000000003,250.50000000000003,253.40000000000003,257.40000000000003
8,8,261.9047,264.6114,271.9406,285.5364,6.0,1.7,3.3,4.6,2.0,1.0,4.0,9.0,4.0,high_cue,high_stim,h014.png,259.40000000000003,260.40000000000003,262.1,266.1,269.40000000000003,278.40000000000003,283.00000000000006,287.00000000000006
9,9,291.5496,293.7376,302.8118,319.7622,1.0,1.2,8.7,8.0,1.3,1.0,4.0,9.0,4.0,low_cue,low_stim,l041.png,288.30000000000007,289.30000000000007,290.50000000000006,294.50000000000006,303.20000000000005,312.20000000000005,320.20000000000005,324.20000000000005
10,10,325.0515,326.746,336.8601,352.0007,4.0,0.7,9.7,6.1,9.6,1.0,4.0,9.0,4.0,high_cue,low_stim,h035.png,333.80000000000007,334.80000000000007,335.50000000000006,339.50000000000006,349.20000000000005,358.20000000000005,364.30000000000007,368.30000000000007
11,11,365.601,367.4416,372.388,389.3384,3.0,0.8,0.9,7.5,0.5,1.0,4.0,9.0,4.0,low_cue,high_stim,l030.png,368.80000000000007,369.80000000000007,370.6000000000001,374.6000000000001,375.50000000000006,384.50000000000006,392.00000000000006,396.00000000000006
