,Unnamed: 0,Event1 onset,Event2 onset,Event3 onset,Event4 onset,Trial type,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue,stimulus_intensity,cue_image,onset_ITI,onset_ev01,onset_ISI1,onset_ev02,onset_ISI2,onset_ev03,onset_ISI3,onset_ev04
0,0,0.0,5.3044,9.9429,20.9127,6.0,1.6,0.6,2.0,2.9,1.0,4.0,9.0,4.0,high_cue,high_stim,h020.png,2.9,3.9,5.5,9.5,10.1,19.1,21.1,25.1
1,1,27.8533,34.3981,44.2752,54.8476,3.0,2.0,5.9,4.3,4.4,1.0,4.0,9.0,4.0,low_cue,high_stim,l020.png,29.5,30.5,32.5,36.5,42.400000000000006,51.400000000000006,55.7,59.7
2,2,59.987,62.3468,66.9426,78.7192,3.0,1.4,0.6,2.8,0.6,1.0,4.0,9.0,4.0,low_cue,high_stim,l011.png,60.300000000000004,61.300000000000004,62.7,66.7,67.3,76.30000000000001,79.10000000000001,83.10000000000001
3,3,83.3552,88.0341,92.8438,105.7848,6.0,1.4,1.2,3.9,9.2,1.0,4.0,9.0,4.0,high_cue,high_stim,h047.png,92.30000000000001,93.30000000000001,94.7,98.7,99.9,108.9,112.80000000000001,116.80000000000001
4,4,115.6928,122.2377,136.9982,147.5706,1.0,2.0,11.2,1.6,0.6,1.0,4.0,9.0,4.0,low_cue,low_stim,l012.png,117.4,118.4,120.4,124.4,135.60000000000002,144.60000000000002,146.20000000000002,150.20000000000002
5,5,152.2066,158.7514,182.4526,201.1207,4.0,2.0,20.1,12.4,6.9,1.0,4.0,9.0,4.0,high_cue,low_stim,h014.png,157.10000000000002,158.10000000000002,160.10000000000002,164.10000000000002,184.20000000000002,193.20000000000002,205.60000000000002,209.60000000000002
6,6,208.7259,212.9793,219.9473,232.8883,2.0,1.2,3.0,3.9,6.9,1.0,4.0,9.0,4.0,low_cue,med_stim,l014.png,216.50000000000003,217.50000000000003,218.70000000000002,222.70000000000002,225.70000000000002,234.70000000000002,238.60000000000002,242.60000000000002
7,7,240.4935,245.798,250.3938,261.5687,5.0,1.6,1.0,4.9,7.1,1.0,4.0,9.0,4.0,high_cue,med_stim,h031.png,249.70000000000002,250.70000000000002,252.3,256.3,257.3,266.3,271.20000000000005,275.20000000000005
8,8,272.7112,274.5672,280.212,291.6224,5.0,0.9,1.6,2.4,5.9,1.0,4.0,9.0,4.0,high_cue,med_stim,h006.png,281.1,282.1,283.00000000000006,287.00000000000006,288.6,297.6,300.00000000000006,304.00000000000006
9,9,301.5305,308.0753,313.7201,325.4967,2.0,2.0,1.6,5.5,5.1,1.0,4.0,9.0,4.0,low_cue,med_stim,l028.png,309.1000000000001,310.1000000000001,312.1000000000001,316.1000000000001,317.70000000000005,326.70000000000005,332.20000000000005,336.20000000000005
10,10,331.3283,333.1843,343.0613,354.8379,4.0,0.9,6.3,2.8,2.3,1.0,4.0,9.0,4.0,high_cue,low_stim,h002.png,338.50000000000006,339.50000000000006,340.40000000000003,344.40000000000003,350.70000000000005,359.70000000000005,362.50000000000006,366.50000000000006
11,11,361.1597,363.0348,367.8446,381.8859,1.0,0.9,0.8,7.7,2.3,1.0,4.0,9.0,4.0,low_cue,low_stim,l003.png,368.80000000000007,369.80000000000007,370.70000000000005,374.70000000000005,375.50000000000006,384.50000000000006,392.20000000000005,396.20000000000005
