,Unnamed: 0,index,block,Trial type,cue,stimulus_intensity,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue_image,video_subject,image_glob,video_filename,onset_ITI,onset_ev01,onset_ISI1,onset_ev02,onset_ISI2,onset_ev03,onset_ISI3,onset_ev04
0,0,0,1,5.0,high_cue,med_stim,2.1,1.3,2.2,1.3,1.0,4.0,9.0,4.0,h012.png,115-jy115,jy115*M.mp4,jy115t1aeaff_M.mp4,1.3,2.3,4.4,8.4,9.700000000000001,18.700000000000003,20.900000000000002,24.900000000000002
1,1,1,1,1.0,low_cue,low_stim,2.1,6.9,5.9,5.8,1.0,4.0,9.0,4.0,l043.png,115-jy115,jy115*L.mp4,jy115t1aaunaff_L.mp4,30.700000000000003,31.700000000000003,33.800000000000004,37.800000000000004,44.7,53.7,59.60000000000001,63.60000000000001
2,2,2,1,4.0,high_cue,low_stim,1.0,6.9,3.6,5.2,1.0,4.0,9.0,4.0,h017.png,052-dr052,dr052*L.mp4,dr052t1aeunaff_L.mp4,68.80000000000001,69.80000000000001,70.80000000000001,74.80000000000001,81.70000000000002,90.70000000000002,94.30000000000001,98.30000000000001
3,3,3,1,6.0,high_cue,high_stim,2.1,5.2,0.6,4.5,1.0,4.0,9.0,4.0,h033.png,123-jh123,jh123*H.mp4,jh123t1aeaff_H.mp4,102.80000000000001,103.80000000000001,105.9,109.9,115.10000000000001,124.10000000000001,124.70000000000002,128.70000000000002
4,4,4,1,4.0,high_cue,low_stim,2.1,1.3,2.2,1.3,1.0,4.0,9.0,4.0,h026.png,066-mg066,mg066*L.mp4,mg066t2aeunaff_L.mp4,130.00000000000003,131.00000000000003,133.10000000000002,137.10000000000002,138.4,147.40000000000003,149.60000000000002,153.60000000000002
5,5,5,1,5.0,high_cue,med_stim,1.0,5.2,1.0,6.9,1.0,4.0,9.0,4.0,h021.png,095-tv095,tv095*M.mp4,tv095t2afaff_M.mp4,160.50000000000003,161.50000000000003,162.50000000000003,166.50000000000003,171.70000000000002,180.70000000000002,181.70000000000002,185.70000000000002
6,6,6,1,3.0,low_cue,high_stim,1.4,2.6,9.5,8.4,1.0,4.0,9.0,4.0,l008.png,052-dr052,dr052*H.mp4,dr052t1aiaff_H.mp4,194.10000000000002,195.10000000000002,196.50000000000003,200.50000000000003,203.10000000000002,212.10000000000002,221.60000000000002,225.60000000000002
7,7,7,1,2.0,low_cue,med_stim,1.9,2.6,7.1,3.0,1.0,4.0,9.0,4.0,l025.png,048-aa048,aa048*M.mp4,aa048t2afunaff_M.mp4,228.60000000000002,229.60000000000002,231.50000000000003,235.50000000000003,238.10000000000002,247.10000000000002,254.20000000000002,258.20000000000005
8,8,8,1,6.0,high_cue,high_stim,0.8,2.6,4.6,9.4,1.0,4.0,9.0,4.0,h007.png,115-jy115,jy115*H.mp4,jy115t2aaaff_H.mp4,267.6,268.6,269.40000000000003,273.40000000000003,276.00000000000006,285.00000000000006,289.6,293.6
9,9,9,1,2.0,low_cue,med_stim,1.5,2.1,2.7,1.3,1.0,4.0,9.0,4.0,l024.png,066-mg066,mg066*M.mp4,mg066t2aaunaff_M.mp4,294.90000000000003,295.90000000000003,297.40000000000003,301.40000000000003,303.5,312.5,315.20000000000005,319.20000000000005
10,10,10,1,1.0,low_cue,low_stim,0.9,11.5,13.4,5.2,1.0,4.0,9.0,4.0,l041.png,108-th108,th108*L.mp4,th108t1aaunaff_L.mp4,324.40000000000003,325.40000000000003,326.30000000000007,330.30000000000007,341.80000000000007,350.80000000000007,364.20000000000005,368.20000000000005
11,11,11,1,3.0,low_cue,high_stim,1.0,5.8,1.0,1.6,1.0,4.0,9.0,4.0,l030.png,108-th108,th108*H.mp4,th108t1aeaff_H.mp4,369.80000000000007,370.80000000000007,371.80000000000007,375.80000000000007,381.6,390.6,391.6,395.6
