,Unnamed: 0,index,block,trial_type,cue,stimulus_intensity,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue_image,video_subject,image_glob,video_filename,onset_ITI,onset_ev01,onset_ISI1,onset_ev02,onset_ISI2,onset_ev03,onset_ISI3,onset_ev04
0,0,0,1,4.0,high_cue,low_stim,0.9,7.3,9.3,5.3,1.0,4.0,9.0,4.0,h024.png,092-ch092,ch092*L.mp4,ch092t2aeaff_L.mp4,5.3,6.3,7.2,11.2,18.5,27.5,36.8,40.8
1,1,1,1,2.0,low_cue,med_stim,1.6,8.0,7.9,8.8,1.0,4.0,9.0,4.0,l020.png,066-mg066,mg066*M.mp4,mg066t2aaunaff_M.mp4,49.599999999999994,50.599999999999994,52.199999999999996,56.199999999999996,64.19999999999999,73.19999999999999,81.1,85.1
2,2,2,1,6.0,high_cue,high_stim,1.9,3.5,3.8,5.3,1.0,4.0,9.0,4.0,h044.png,049-bm049,bm049*H.mp4,bm049t2aeunaff_H.mp4,90.39999999999999,91.39999999999999,93.3,97.3,100.8,109.8,113.6,117.6
3,3,3,1,3.0,low_cue,high_stim,2.3,2.0,1.3,3.0,1.0,4.0,9.0,4.0,l017.png,066-mg066,mg066*H.mp4,mg066t1aaaff_H.mp4,120.6,121.6,123.89999999999999,127.89999999999999,129.9,138.9,140.2,144.2
4,4,4,1,4.0,high_cue,low_stim,0.8,8.0,3.6,4.3,1.0,4.0,9.0,4.0,h032.png,066-mg066,mg066*L.mp4,mg066t2aeunaff_L.mp4,148.5,149.5,150.29999999999998,154.29999999999998,162.29999999999998,171.29999999999998,174.89999999999998,178.89999999999998
5,5,5,1,5.0,high_cue,med_stim,1.1,2.0,2.0,6.7,1.0,4.0,9.0,4.0,h013.png,092-ch092,ch092*M.mp4,ch092t2aaaff_M.mp4,185.59999999999997,186.59999999999997,187.7,191.7,193.7,202.7,204.7,208.7
6,6,6,1,3.0,low_cue,high_stim,1.1,3.9,2.0,6.7,1.0,4.0,9.0,4.0,l006.png,124-dn124,dn124*H.mp4,dn124t1aiaff_H.mp4,215.39999999999998,216.39999999999998,217.5,221.5,225.39999999999998,234.39999999999998,236.39999999999998,240.39999999999998
7,7,7,1,5.0,high_cue,med_stim,1.5,3.0,3.6,3.0,1.0,4.0,9.0,4.0,h049.png,064-ak064,ak064*M.mp4,ak064t1aiaff_M.mp4,243.39999999999998,244.39999999999998,245.89999999999998,249.89999999999998,252.89999999999998,261.9,265.5,269.5
8,8,8,1,1.0,low_cue,low_stim,2.1,5.8,5.7,5.3,1.0,4.0,9.0,4.0,l028.png,101-mg101,mg101*L.mp4,mg101t2afunaff_L.mp4,274.8,275.8,277.9,281.9,287.7,296.7,302.4,306.4
9,9,9,1,1.0,low_cue,low_stim,1.3,2.0,3.8,0.5,1.0,4.0,9.0,4.0,l047.png,109-ib109,ib109*L.mp4,ib109t1aiunaff_L.mp4,306.9,307.9,309.2,313.2,315.2,324.2,328.0,332.0
10,10,10,1,6.0,high_cue,high_stim,2.1,6.3,5.3,4.4,1.0,4.0,9.0,4.0,h012.png,109-ib109,ib109*H.mp4,ib109t1aiaff_H.mp4,336.4,337.4,339.5,343.5,349.8,358.8,364.1,368.1
11,11,11,1,2.0,low_cue,med_stim,1.3,2.0,5.8,0.8,1.0,4.0,9.0,4.0,l003.png,109-ib109,ib109*M.mp4,ib109t1afaff_M.mp4,368.90000000000003,369.90000000000003,371.20000000000005,375.20000000000005,377.20000000000005,386.20000000000005,392.0,396.0
