,Unnamed: 0,Event1 onset,Event2 onset,Event3 onset,Event4 onset,Trial type,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue,stimulus_intensity,cue_image,onset_ITI,onset_ev01,onset_ISI1,onset_ev02,onset_ISI2,onset_ev03,onset_ISI3,onset_ev04
0,0,0.0,3.0653,11.8682,21.8225,1.0,0.7,4.8,1.0,7.8,1.0,4.0,9.0,4.0,low_cue,low_stim,l013.png,7.8,8.8,9.5,13.5,18.3,27.3,28.3,32.3
1,1,31.8222,36.7615,42.5709,52.7497,2.0,1.3,1.8,3.5,0.6,1.0,4.0,9.0,4.0,low_cue,med_stim,l004.png,32.9,33.9,35.199999999999996,39.199999999999996,41.0,50.0,53.5,57.5
2,2,57.3681,63.7669,71.7387,85.7998,1.0,1.9,4.0,5.1,1.0,1.0,4.0,9.0,4.0,low_cue,low_stim,l046.png,58.5,59.5,61.4,65.4,69.4,78.4,83.5,87.5
3,3,90.7758,93.181,99.265,109.4439,3.0,1.4,2.1,3.5,1.0,1.0,4.0,9.0,4.0,low_cue,high_stim,l036.png,88.5,89.5,90.9,94.9,97.0,106.0,109.5,113.5
4,4,114.4198,120.8186,125.4331,136.4299,5.0,1.9,4.9,2.0,3.7,1.0,4.0,9.0,4.0,high_cue,med_stim,h021.png,117.2,118.2,120.1,124.1,129.0,138.0,140.0,144.0
5,5,142.2975,146.0114,153.7172,167.7784,6.0,0.9,8.0,7.4,7.1,1.0,4.0,9.0,4.0,high_cue,high_stim,h031.png,151.1,152.1,153.0,157.0,165.0,174.0,181.4,185.4
6,6,177.0702,183.2061,190.3788,200.3792,5.0,1.8,3.2,1.0,6.0,1.0,4.0,9.0,4.0,high_cue,med_stim,h028.png,191.4,192.4,194.20000000000002,198.20000000000002,201.4,210.4,211.4,215.4
7,7,210.3789,216.7777,222.8618,233.0406,4.0,1.9,6.4,1.2,1.0,1.0,4.0,9.0,4.0,high_cue,low_stim,h001.png,216.4,217.4,219.3,223.3,229.70000000000002,238.70000000000002,239.9,243.9
8,8,238.0166,240.4217,247.0598,260.8416,4.0,1.4,6.9,7.1,4.7,1.0,4.0,9.0,4.0,high_cue,low_stim,h043.png,248.6,249.6,251.0,255.0,261.9,270.9,278.0,282.0
9,9,267.7553,275.1051,282.0749,297.3831,6.0,2.2,3.0,6.3,1.0,1.0,4.0,9.0,4.0,high_cue,high_stim,h007.png,283.0,284.0,286.2,290.2,293.2,302.2,308.5,312.5
10,10,302.3591,306.0762,314.0479,324.6193,2.0,0.9,8.3,3.9,10.9,1.0,4.0,9.0,4.0,low_cue,med_stim,l027.png,323.4,324.4,325.3,329.3,337.6,346.6,350.5,354.5
11,11,337.6934,340.4707,345.0777,366.0571,3.0,1.8,0.6,12.0,9.1,1.0,4.0,9.0,4.0,low_cue,high_stim,l029.png,363.6,364.6,366.4,370.4,371.0,380.0,392.0,396.0
