,Unnamed: 0,Event1 onset,Event2 onset,Event3 onset,Event4 onset,trial_type,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue,stimulus_intensity,cue_image,onset_ITI,onset_ev01,onset_ISI1,onset_ev02,onset_ISI2,onset_ev03,onset_ISI3,onset_ev04
0,0,0.0,3.3142,12.749,25.4836,5.0,0.8,7.9,3.7,1.1,1.0,4.0,9.0,4.0,high_cue,med_stim,h029.png,1.1,2.1,2.9000000000000004,6.9,14.8,23.8,27.5,31.5
1,1,30.5708,35.7184,40.6061,53.3408,2.0,1.5,0.9,3.7,1.9,1.0,4.0,9.0,4.0,low_cue,med_stim,l036.png,33.4,34.4,35.9,39.9,40.8,49.8,53.5,57.5
2,2,59.2512,64.3988,71.5911,83.7229,4.0,1.5,5.7,6.1,3.3,1.0,4.0,9.0,4.0,high_cue,low_stim,h048.png,60.8,61.8,63.3,67.3,73.0,82.0,88.1,92.1
3,3,91.0372,93.4998,101.9293,113.8319,2.0,1.5,6.9,5.9,8.6,1.0,4.0,9.0,4.0,low_cue,med_stim,l039.png,100.69999999999999,101.69999999999999,103.19999999999999,107.19999999999999,114.1,123.1,129.0,133.0
4,4,126.4278,135.564,148.16299999999995,159.9428,6.0,2.9,8.6,5.8,3.2,1.0,4.0,9.0,4.0,high_cue,high_stim,h034.png,136.2,137.2,140.1,144.1,152.7,161.7,167.5,171.5
5,5,164.8074,167.2303,173.1868,183.794,1.0,1.4,4.5,1.6,16.3,1.0,4.0,9.0,4.0,low_cue,low_stim,l055.png,187.8,188.8,190.2,194.2,198.7,207.7,209.3,213.3
6,6,201.7629,205.0548,213.4842,227.5866,3.0,0.8,4.4,5.1,3.1,1.0,4.0,9.0,4.0,low_cue,high_stim,l023.png,216.4,217.4,218.20000000000002,222.20000000000002,226.60000000000002,235.60000000000002,240.70000000000002,244.70000000000002
7,7,232.404,234.0222,238.91,250.8126,5.0,0.6,3.4,2.9,5.1,1.0,4.0,9.0,4.0,high_cue,med_stim,h022.png,249.8,250.8,251.4,255.4,258.8,267.8,270.70000000000005,274.70000000000005
8,8,257.5634,259.2057,264.0934,280.0172,4.0,0.6,0.9,9.9,4.2,1.0,4.0,9.0,4.0,high_cue,low_stim,h028.png,278.90000000000003,279.90000000000003,280.50000000000006,284.50000000000006,285.40000000000003,294.40000000000003,304.30000000000007,308.30000000000007
9,9,285.9276,295.0638,307.6628,320.9145,3.0,2.9,8.6,4.3,1.1,1.0,4.0,9.0,4.0,low_cue,high_stim,l002.png,309.4000000000001,310.4000000000001,313.30000000000007,317.30000000000007,325.9000000000001,334.9000000000001,339.20000000000005,343.20000000000005
10,10,326.0016,329.0387,333.7321,343.8633,6.0,0.7,0.7,4.1,2.8,1.0,4.0,9.0,4.0,high_cue,high_stim,h023.png,346.00000000000006,347.00000000000006,347.70000000000005,351.70000000000005,352.40000000000003,361.40000000000003,365.50000000000006,369.50000000000006
11,11,350.6141,359.7503,365.4771,375.626,1.0,2.9,1.7,1.1,3.3,1.0,4.0,9.0,4.0,low_cue,low_stim,l018.png,372.80000000000007,373.80000000000007,376.70000000000005,380.70000000000005,382.40000000000003,391.40000000000003,392.50000000000006,396.50000000000006
