,Unnamed: 0,Event1 onset,Event2 onset,Event3 onset,Event4 onset,trial_type,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue,stimulus_intensity,cue_image,onset_ITI,onset_ev01,onset_ISI1,onset_ev02,onset_ISI2,onset_ev03,onset_ISI3,onset_ev04
0,0,0.0,5.7453,16.1818,32.2547,3.0,1.7,6.4,7.1,0.6,1.0,4.0,9.0,4.0,low_cue,high_stim,l027.png,0.6,1.6,3.3,7.3,13.7,22.7,29.799999999999997,33.8
1,1,36.8628,43.5346,52.0669,68.1397,5.0,2.1,4.5,7.1,5.0,1.0,4.0,9.0,4.0,high_cue,med_stim,h036.png,38.8,39.8,41.9,45.9,50.4,59.4,66.5,70.5
2,2,77.1385,83.8103,88.3242,97.8707,1.0,2.1,0.5,2.8,5.1,1.0,4.0,9.0,4.0,low_cue,low_stim,l032.png,75.6,76.6,78.7,82.7,83.2,92.2,95.0,99.0
3,3,102.5695,104.0826,108.873,124.6979,1.0,0.5,0.8,6.8,4.1,1.0,4.0,9.0,4.0,low_cue,low_stim,l023.png,103.1,104.1,104.6,108.6,109.4,118.4,125.2,129.2
4,4,132.7932,139.4651,147.1612,159.1757,4.0,2.1,3.7,3.0,5.1,1.0,4.0,9.0,4.0,high_cue,low_stim,h027.png,134.29999999999998,135.29999999999998,137.39999999999998,141.39999999999998,145.1,154.1,157.1,161.1
5,5,163.8745,165.8832,170.3971,179.9436,5.0,1.0,0.5,2.8,5.1,1.0,4.0,9.0,4.0,high_cue,med_stim,h042.png,166.2,167.2,168.2,172.2,172.7,181.7,184.5,188.5
6,6,184.6424,186.6285,197.5996,210.1592,4.0,1.0,7.0,5.9,3.1,1.0,4.0,9.0,4.0,high_cue,low_stim,h011.png,191.6,192.6,193.6,197.6,204.6,213.6,219.5,223.5
7,7,217.306,219.8375,231.8472,242.9108,3.0,1.5,8.0,4.4,8.5,1.0,4.0,9.0,4.0,low_cue,high_stim,l039.png,232.0,233.0,234.5,238.5,246.5,255.5,259.9,263.9
8,8,251.0062,257.678,269.6877,279.5332,2.0,2.1,5.7,0.8,5.1,1.0,4.0,9.0,4.0,low_cue,med_stim,l053.png,269.0,270.0,272.09999999999997,276.09999999999997,281.79999999999995,290.79999999999995,291.59999999999997,295.59999999999997
9,9,284.232,287.6475,302.4025,314.9621,2.0,0.9,7.7,3.6,1.5,1.0,4.0,9.0,4.0,low_cue,med_stim,l004.png,297.09999999999997,298.09999999999997,298.99999999999994,302.99999999999994,310.7,319.7,323.29999999999995,327.29999999999995
10,10,320.5016,326.2469,331.6262,341.1587,6.0,1.7,1.4,0.5,7.8,1.0,4.0,9.0,4.0,high_cue,high_stim,h026.png,335.09999999999997,336.09999999999997,337.79999999999995,341.79999999999995,343.19999999999993,352.19999999999993,352.69999999999993,356.69999999999993
11,11,352.9531,357.1284,371.8834,387.7083,6.0,1.2,7.7,9.1,3.1,1.0,4.0,9.0,4.0,high_cue,high_stim,h028.png,359.79999999999995,360.79999999999995,361.99999999999994,365.99999999999994,373.69999999999993,382.69999999999993,391.79999999999995,395.79999999999995
