,Unnamed: 0,index,block,trial_type,cue,stimulus_intensity,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue_image,video_subject,image_glob,video_filename,onset_ITI,onset_ev01,onset_ISI1,onset_ev02,onset_ISI2,onset_ev03,onset_ISI3,onset_ev04
0,12,0,2,3.0,low_cue,high_stim,1.6,5.2,3.0,2.2,1.0,4.0,9.0,4.0,l049.png,042-ll042,ll042*H.mp4,ll042t1aiaff_H.mp4,2.2,3.2,4.800000000000001,8.8,14.0,23.0,26.0,30.0
1,13,1,2,5.0,high_cue,med_stim,1.3,6.3,6.5,4.6,1.0,4.0,9.0,4.0,h045.png,043-jh043,jh043*M.mp4,jh043t2aeunaff_M.mp4,34.6,35.6,36.9,40.9,47.2,56.2,62.7,66.7
2,14,2,2,1.0,low_cue,low_stim,1.3,0.9,1.4,1.2,1.0,4.0,9.0,4.0,l034.png,106-nm106,nm106*L.mp4,nm106t1aaunaff_L.mp4,67.9,68.9,70.2,74.2,75.10000000000001,84.1,85.5,89.5
3,15,3,2,4.0,high_cue,low_stim,1.6,1.4,6.5,7.9,1.0,4.0,9.0,4.0,h047.png,064-ak064,ak064*L.mp4,ak064t1afunaff_L.mp4,97.4,98.4,100.0,104.0,105.4,114.4,120.9,124.9
4,16,4,2,2.0,low_cue,med_stim,1.6,6.3,1.9,4.9,1.0,4.0,9.0,4.0,l022.png,107-hs107,hs107*M.mp4,hs107t2aaaff_M.mp4,129.8,130.8,132.4,136.4,142.70000000000002,151.70000000000002,153.6,157.60000000000002
5,17,5,2,6.0,high_cue,high_stim,1.3,6.2,3.8,4.9,1.0,4.0,9.0,4.0,h040.png,097-gf097,gf097*H.mp4,gf097t2aaunaff_H.mp4,162.50000000000003,163.50000000000003,164.8,168.8,175.00000000000003,184.00000000000003,187.8,191.8
6,18,6,2,1.0,low_cue,low_stim,1.4,6.3,9.9,4.8,1.0,4.0,9.0,4.0,l007.png,043-jh043,jh043*L.mp4,jh043t2aaunaff_L.mp4,196.60000000000002,197.60000000000002,199.0,203.0,209.3,218.3,228.20000000000002,232.20000000000002
7,19,7,2,3.0,low_cue,high_stim,1.7,2.3,6.8,1.4,1.0,4.0,9.0,4.0,l001.png,124-dn124,dn124*H.mp4,dn124t1aiaff_H.mp4,233.60000000000002,234.60000000000002,236.3,240.3,242.60000000000002,251.60000000000002,258.40000000000003,262.40000000000003
8,20,8,2,6.0,high_cue,high_stim,2.2,4.5,3.5,1.3,1.0,4.0,9.0,4.0,h042.png,064-ak064,ak064*H.mp4,ak064t1aaaff_H.mp4,263.70000000000005,264.70000000000005,266.90000000000003,270.90000000000003,275.40000000000003,284.40000000000003,287.90000000000003,291.90000000000003
9,21,9,2,5.0,high_cue,med_stim,1.9,6.2,3.1,9.8,1.0,4.0,9.0,4.0,h024.png,106-nm106,nm106*M.mp4,nm106t2aaunaff_M.mp4,301.70000000000005,302.70000000000005,304.6,308.6,314.8,323.8,326.90000000000003,330.90000000000003
10,22,10,2,4.0,high_cue,low_stim,1.4,2.3,4.7,2.2,1.0,4.0,9.0,4.0,h046.png,107-hs107,hs107*L.mp4,hs107t2aeunaff_L.mp4,333.1,334.1,335.50000000000006,339.50000000000006,341.8,350.8,355.50000000000006,359.50000000000006
11,23,11,2,2.0,low_cue,med_stim,0.9,6.1,2.7,8.9,1.0,4.0,9.0,4.0,l043.png,124-dn124,dn124*M.mp4,dn124t1aeunaff_M.mp4,368.40000000000003,369.40000000000003,370.30000000000007,374.30000000000007,380.40000000000003,389.40000000000003,392.1000000000001,396.1000000000001
