,Unnamed: 0,index,block,Trial type,cue,stimulus_intensity,ITI,Event1Dur,ISI1,Event2Dur,ISI2,Event3Dur,ISI3,Event4Dur,cue_image,stim_num,same_diff,image_filename,onset_ITI,onset_ev01,onset_ISI1,onset_ev02,onset_ISI2,onset_ev03,onset_ISI3,onset_ev04
0,14,12,2,4.0,high_cue,low_stim,1.9,1.0,1.4,4.0,8.8,9.0,2.4,4.0,h049.png,27,diff,27_50_R.jpg,1.9,2.9,4.3,8.3,17.1,26.1,28.5,32.5
1,50,13,2,1.0,low_cue,low_stim,1.9,1.0,0.8,4.0,1.1,9.0,4.2,4.0,l004.png,18,same,18_50.jpg,34.4,35.4,36.2,40.2,41.3,50.3,54.5,58.5
2,62,14,2,2.0,low_cue,med_stim,0.9,1.0,1.1,4.0,6.8,9.0,2.6,4.0,l035.png,42,diff,42_100_R.jpg,59.4,60.4,61.5,65.5,72.3,81.3,83.9,87.9
3,38,15,2,3.0,low_cue,high_stim,1.1,1.0,2.1,4.0,5.2,9.0,2.3,4.0,l001.png,42,diff,42_150_R.jpg,89.0,90.0,92.10000000000001,96.10000000000001,101.30000000000001,110.30000000000001,112.60000000000001,116.60000000000001
4,26,16,2,5.0,high_cue,med_stim,0.7,1.0,1.4,4.0,5.6,9.0,3.6,4.0,h053.png,11,diff,11_100_R.jpg,117.30000000000001,118.30000000000001,119.7,123.7,129.3,138.3,141.9,145.9
5,2,17,2,6.0,high_cue,high_stim,0.6,1.0,1.1,4.0,5.5,9.0,2.7,4.0,h002.png,35,same,35_150.jpg,146.5,147.5,148.6,152.6,158.1,167.1,169.8,173.8
6,15,18,2,4.0,high_cue,low_stim,2.0,1.0,1.1,4.0,2.6,9.0,10.9,4.0,h020.png,29,same,29_50.jpg,175.8,176.8,177.9,181.9,184.5,193.5,204.4,208.4
7,3,19,2,6.0,high_cue,high_stim,7.8,1.0,1.1,4.0,0.9,9.0,5.6,4.0,h034.png,10,diff,10_150_R.jpg,216.20000000000002,217.20000000000002,218.3,222.3,223.20000000000002,232.20000000000002,237.8,241.8
8,51,20,2,1.0,low_cue,low_stim,0.9,1.0,2.1,4.0,4.6,9.0,4.3,4.0,l003.png,42,diff,42_50_R.jpg,242.70000000000002,243.70000000000002,245.8,249.8,254.4,263.40000000000003,267.7,271.7
9,63,21,2,2.0,low_cue,med_stim,1.9,1.0,2.1,4.0,5.3,9.0,4.2,4.0,l056.png,11,same,11_100.jpg,273.59999999999997,274.59999999999997,276.7,280.7,286.0,295.0,299.2,303.2
10,39,22,2,3.0,low_cue,high_stim,17.0,1.0,1.4,4.0,1.4,9.0,1.4,4.0,l006.png,5,diff,5_150_R.jpg,320.2,321.2,322.59999999999997,326.59999999999997,328.0,337.0,338.4,342.4
11,27,23,2,5.0,high_cue,med_stim,17.1,1.0,2.1,4.0,6.1,9.0,9.6,4.0,h019.png,27,diff,27_100_R.jpg,359.5,360.5,362.59999999999997,366.59999999999997,372.7,381.7,391.29999999999995,395.29999999999995
