,Unnamed: 0,Event1 onset,Event2 onset,Event3 onset,Event4 onset,trial_type,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue,stimulus_intensity,cue_image,onset_ITI,onset_ev01,onset_ISI1,onset_ev02,onset_ISI2,onset_ev03,onset_ISI3,onset_ev04
0,0,0.0,6.372000000000001,14.7979,24.8832,4.0,1.8,4.8,4.3,2.6,1.0,4.0,9.0,4.0,high_cue,low_stim,h006.png,2.6,3.6,5.4,9.4,14.2,23.2,27.5,31.5
1,1,31.5224,36.5997,45.0256,57.5534,6.0,1.4,4.8,3.5,0.8,1.0,4.0,9.0,4.0,high_cue,high_stim,h004.png,32.3,33.3,34.7,38.7,43.5,52.5,56.0,60.0
2,2,62.3529,67.4302,75.7355,88.2633,5.0,1.4,4.3,3.5,5.9,1.0,4.0,9.0,4.0,high_cue,med_stim,h012.png,65.9,66.9,68.3,72.3,76.6,85.6,89.1,93.1
3,3,92.9397,94.4466,100.0279,113.996,1.0,0.5,1.6,5.0,0.7,1.0,4.0,9.0,4.0,low_cue,low_stim,l013.png,93.8,94.8,95.3,99.3,100.89999999999999,109.89999999999999,114.89999999999999,118.89999999999999
4,4,118.6725,125.0445,130.6258,146.7688,6.0,1.8,1.6,10.3,2.3,1.0,4.0,9.0,4.0,high_cue,high_stim,h024.png,121.19999999999999,122.19999999999999,123.99999999999999,127.99999999999999,129.6,138.6,148.89999999999998,152.89999999999998
5,5,153.0418,159.2542,167.2133,178.3902,4.0,1.8,4.4,5.4,11.6,1.0,4.0,9.0,4.0,high_cue,low_stim,h020.png,164.49999999999997,165.49999999999997,167.29999999999998,171.29999999999998,175.7,184.7,190.09999999999997,194.09999999999997
6,6,188.7851,192.2473,205.2375,215.3227,2.0,0.9,9.4,1.1,6.4,1.0,4.0,9.0,4.0,low_cue,med_stim,l036.png,200.49999999999997,201.49999999999997,202.39999999999998,206.39999999999998,215.79999999999995,224.79999999999995,225.89999999999998,229.89999999999998
7,7,220.5635,223.765,236.7551,246.4841,3.0,2.2,9.0,3.9,6.0,1.0,4.0,9.0,4.0,low_cue,high_stim,l016.png,235.89999999999998,236.89999999999998,239.09999999999997,243.09999999999997,252.09999999999997,261.09999999999997,265.0,269.0
8,8,251.2837,254.4851,262.911,276.8791,2.0,2.2,4.4,8.2,5.1,1.0,4.0,9.0,4.0,low_cue,med_stim,l002.png,274.1,275.1,277.3,281.3,285.7,294.7,302.9,306.9
9,9,285.9366,292.149,300.4542,312.6917,1.0,1.8,4.3,3.2,2.6,1.0,4.0,9.0,4.0,low_cue,low_stim,l028.png,309.5,310.5,312.29999999999995,316.29999999999995,320.59999999999997,329.59999999999997,332.79999999999995,336.79999999999995
10,10,319.331,322.5325,328.1137,340.3513,5.0,0.7,1.6,3.2,7.8,1.0,4.0,9.0,4.0,high_cue,med_stim,h041.png,344.59999999999997,345.59999999999997,346.29999999999995,350.29999999999995,351.9,360.9,364.09999999999997,368.09999999999997
11,11,346.9905,352.4252,359.9059,371.0827,3.0,1.5,3.9,2.2,2.3,1.0,4.0,9.0,4.0,low_cue,high_stim,l038.png,370.4,371.4,372.9,376.9,380.79999999999995,389.79999999999995,391.99999999999994,395.99999999999994
