,Unnamed: 0,index,block,trial_type,cue,stimulus_intensity,ITI,Event1Dur,ISI1,Event2Dur,ISI2,Event3Dur,ISI3,Event4Dur,cue_image,stim_num,same_diff,image_filename,onset_ITI,onset_ev01,onset_ISI1,onset_ev02,onset_ISI2,onset_ev03,onset_ISI3,onset_ev04
0,50,12,2,1.0,low_cue,low_stim,11.4,1.0,0.8,4.0,4.7,9.0,4.0,4.0,l037.png,7,same,7_50.jpg,11.4,12.4,13.200000000000001,17.200000000000003,21.900000000000002,30.900000000000002,34.900000000000006,38.900000000000006
1,62,13,2,2.0,low_cue,med_stim,2.1,1.0,2.0,4.0,4.7,9.0,4.8,4.0,l006.png,35,same,35_100.jpg,41.00000000000001,42.00000000000001,44.00000000000001,48.00000000000001,52.7,61.7,66.5,70.5
2,26,14,2,5.0,high_cue,med_stim,4.5,1.0,2.0,4.0,0.8,9.0,2.8,4.0,h017.png,1,diff,1_100_R.jpg,75.0,76.0,78.0,82.0,82.8,91.8,94.6,98.6
3,38,15,2,3.0,low_cue,high_stim,9.1,1.0,0.9,4.0,7.5,9.0,3.2,4.0,l023.png,1,same,1_150.jpg,107.69999999999999,108.69999999999999,109.6,113.6,121.1,130.1,133.3,137.3
4,27,16,2,5.0,high_cue,med_stim,10.6,1.0,0.7,4.0,2.5,9.0,5.9,4.0,h016.png,24,diff,24_100_R.jpg,147.9,148.9,149.60000000000002,153.60000000000002,156.10000000000002,165.10000000000002,171.0,175.0
5,39,17,2,3.0,low_cue,high_stim,0.9,1.0,2.1,4.0,2.2,9.0,3.1,4.0,l048.png,26,diff,26_150_R.jpg,175.9,176.9,179.0,183.0,185.2,194.2,197.3,201.3
6,51,18,2,1.0,low_cue,low_stim,1.3,1.0,2.0,4.0,5.3,9.0,5.9,4.0,l008.png,26,diff,26_50_R.jpg,202.60000000000002,203.60000000000002,205.60000000000002,209.60000000000002,214.9,223.9,229.8,233.8
7,2,19,2,6.0,high_cue,high_stim,0.9,1.0,0.7,4.0,0.8,9.0,4.9,4.0,h055.png,22,same,22_150.jpg,234.70000000000002,235.70000000000002,236.4,240.4,241.20000000000002,250.20000000000002,255.10000000000002,259.1
8,3,20,2,6.0,high_cue,high_stim,3.9,1.0,2.0,4.0,2.2,9.0,4.0,4.0,h044.png,24,diff,24_150_R.jpg,263.0,264.0,266.0,270.0,272.20000000000005,281.20000000000005,285.20000000000005,289.20000000000005
9,14,21,2,4.0,high_cue,low_stim,4.7,1.0,1.8,4.0,10.6,9.0,3.9,4.0,h021.png,20,same,20_50.jpg,293.90000000000003,294.90000000000003,296.70000000000005,300.70000000000005,311.30000000000007,320.30000000000007,324.20000000000005,328.20000000000005
10,15,22,2,4.0,high_cue,low_stim,1.7,1.0,1.9,4.0,4.9,9.0,5.0,4.0,h028.png,1,diff,1_50_R.jpg,329.90000000000003,330.90000000000003,332.80000000000007,336.80000000000007,341.70000000000005,350.70000000000005,355.70000000000005,359.70000000000005
11,63,23,2,2.0,low_cue,med_stim,2.8,1.0,0.9,4.0,7.6,9.0,6.7,4.0,l052.png,20,diff,20_100_R.jpg,362.50000000000006,363.50000000000006,364.40000000000003,368.40000000000003,376.00000000000006,385.00000000000006,391.70000000000005,395.70000000000005
