,Unnamed: 0,index,block,trial_type,cue,stimulus_intensity,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue_image,video_subject,image_glob,video_filename,onset_ITI,onset_ev01,onset_ISI1,onset_ev02,onset_ISI2,onset_ev03,onset_ISI3,onset_ev04
0,12,0,2,5.0,high_cue,med_stim,1.7,2.1,1.8,7.0,1.0,4.0,9.0,4.0,h031.png,042-ll042,ll042*M.mp4,ll042t1afunaff_M.mp4,7.0,8.0,9.7,13.7,15.799999999999999,24.799999999999997,26.599999999999998,30.599999999999998
1,13,1,2,6.0,high_cue,high_stim,0.5,2.1,1.4,1.4,1.0,4.0,9.0,4.0,h021.png,064-ak064,ak064*H.mp4,ak064t1aaaff_H.mp4,31.999999999999996,33.0,33.5,37.5,39.599999999999994,48.599999999999994,50.0,54.0
2,14,2,2,3.0,low_cue,high_stim,1.1,2.2,2.8,3.9,1.0,4.0,9.0,4.0,l048.png,115-jy115,jy115*H.mp4,jy115t2aaaff_H.mp4,57.9,58.9,60.0,64.0,66.2,75.2,78.0,82.0
3,15,3,2,4.0,high_cue,low_stim,2.9,4.2,1.4,5.3,1.0,4.0,9.0,4.0,h008.png,115-jy115,jy115*L.mp4,jy115t1aaunaff_L.mp4,87.3,88.3,91.2,95.2,99.4,108.4,109.8,113.8
4,16,4,2,5.0,high_cue,med_stim,2.9,5.1,2.8,2.0,1.0,4.0,9.0,4.0,h047.png,124-dn124,dn124*M.mp4,dn124t1aeunaff_M.mp4,115.8,116.8,119.7,123.7,128.8,137.8,140.6,144.6
5,17,5,2,1.0,low_cue,low_stim,2.9,0.9,2.9,10.2,1.0,4.0,9.0,4.0,l012.png,120-kz120,kz120*L.mp4,kz120t2aaunaff_L.mp4,154.79999999999998,155.79999999999998,158.7,162.7,163.6,172.6,175.5,179.5
6,18,6,2,2.0,low_cue,med_stim,0.5,7.9,11.8,2.6,1.0,4.0,9.0,4.0,l018.png,048-aa048,aa048*M.mp4,aa048t2afunaff_M.mp4,182.1,183.1,183.6,187.6,195.5,204.5,216.3,220.3
7,19,7,2,2.0,low_cue,med_stim,1.1,6.9,2.9,2.0,1.0,4.0,9.0,4.0,l015.png,115-jy115,jy115*M.mp4,jy115t1aeaff_M.mp4,222.3,223.3,224.4,228.4,235.3,244.3,247.20000000000002,251.20000000000002
8,20,8,2,6.0,high_cue,high_stim,1.7,6.9,4.6,2.0,1.0,4.0,9.0,4.0,h028.png,120-kz120,kz120*H.mp4,kz120t2aaaff_H.mp4,253.20000000000002,254.20000000000002,255.9,259.90000000000003,266.8,275.8,280.40000000000003,284.40000000000003
9,21,9,2,1.0,low_cue,low_stim,1.2,5.1,8.0,4.4,1.0,4.0,9.0,4.0,l019.png,042-ll042,ll042*L.mp4,ll042t1aaunaff_L.mp4,288.8,289.8,291.00000000000006,295.00000000000006,300.1,309.1,317.1,321.1
10,22,10,2,4.0,high_cue,low_stim,0.7,6.1,6.1,12.7,1.0,4.0,9.0,4.0,h026.png,064-ak064,ak064*L.mp4,ak064t1afunaff_L.mp4,333.8,334.8,335.5,339.5,345.6,354.6,360.70000000000005,364.70000000000005
11,23,11,2,3.0,low_cue,high_stim,0.8,4.5,7.5,0.5,1.0,4.0,9.0,4.0,l026.png,048-aa048,aa048*H.mp4,aa048t2aeaff_H.mp4,365.20000000000005,366.20000000000005,367.00000000000006,371.00000000000006,375.50000000000006,384.50000000000006,392.00000000000006,396.00000000000006
