,Unnamed: 0,Event1 onset,Event2 onset,Event3 onset,Event4 onset,Trial type,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue,stimulus_intensity,cue_image,onset_ITI,onset_ev01,onset_ISI1,onset_ev02,onset_ISI2,onset_ev03,onset_ISI3,onset_ev04
0,0,0.0,4.3092,12.9922,32.529,4.0,1.2,4.7,5.2,5.1,1.0,4.0,9.0,4.0,high_cue,low_stim,h026.png,5.1,6.1,7.3,11.3,16.0,25.0,30.2,34.2
1,1,37.6291,42.4273,47.86,59.93899999999999,2.0,1.4,1.4,3.1,0.6,1.0,4.0,9.0,4.0,low_cue,med_stim,l010.png,34.800000000000004,35.800000000000004,37.2,41.2,42.6,51.6,54.7,58.7
2,2,64.5128,66.6759,71.2592,81.7797,4.0,1.2,7.0,1.5,5.2,1.0,4.0,9.0,4.0,high_cue,low_stim,h056.png,63.900000000000006,64.9,66.10000000000001,70.10000000000001,77.1,86.1,87.6,91.6
3,3,86.9736,94.8147,101.3748,122.8327,2.0,2.5,2.6,6.2,1.1,1.0,4.0,9.0,4.0,low_cue,med_stim,l044.png,92.69999999999999,93.69999999999999,96.19999999999999,100.19999999999999,102.8,111.8,118.0,122.0
4,4,127.9329,130.7547,135.3095,156.7675,6.0,0.7,0.6,6.2,1.1,1.0,4.0,9.0,4.0,high_cue,high_stim,h049.png,123.1,124.1,124.8,128.8,129.4,138.4,144.6,148.6
5,5,161.8676,169.7087,175.5107,195.0475,1.0,2.5,8.2,5.2,0.6,1.0,4.0,9.0,4.0,low_cue,low_stim,l043.png,149.2,150.2,152.7,156.7,164.89999999999998,173.89999999999998,179.1,183.1
6,6,199.6213,201.7843,207.5864,222.9187,3.0,1.2,8.2,6.3,1.6,1.0,4.0,9.0,4.0,low_cue,high_stim,l055.png,184.7,185.7,186.9,190.9,199.1,208.1,214.4,218.39999999999998
7,7,228.495,230.658,235.2129,250.5452,1.0,1.2,0.6,6.3,2.2,1.0,4.0,9.0,4.0,low_cue,low_stim,l006.png,220.59999999999997,221.59999999999997,222.79999999999998,226.79999999999998,227.39999999999998,236.39999999999998,242.7,246.7
8,8,256.7005,264.5416,271.1017,286.434,6.0,2.5,2.6,3.1,9.8,1.0,4.0,9.0,4.0,high_cue,high_stim,h005.png,256.5,257.5,260.0,264.0,266.59999999999997,275.59999999999997,278.7,282.7
9,9,296.2321,301.0302,306.6097,317.1302,3.0,1.4,1.6,1.5,6.2,1.0,4.0,9.0,4.0,low_cue,high_stim,l009.png,288.9,289.9,291.3,295.3,296.9,305.9,307.4,311.4
10,10,323.2855,328.0836,335.4178,350.4441,5.0,1.4,9.7,6.0,14.5,1.0,4.0,9.0,4.0,high_cue,med_stim,h010.png,325.9,326.9,328.29999999999995,332.29999999999995,342.0,351.0,357.0,361.0
11,11,364.9743,368.7168,373.3002,385.5296,5.0,1.0,7.0,3.2,5.8,1.0,4.0,9.0,4.0,high_cue,med_stim,h050.png,366.8,367.8,368.8,372.8,379.8,388.8,392.0,396.0
