,Unnamed: 0,index,block,Trial type,cue,stimulus_intensity,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue_image,video_subject,image_glob,video_filename,onset_ITI,onset_ev01,onset_ISI1,onset_ev02,onset_ISI2,onset_ev03,onset_ISI3,onset_ev04
0,12,0,2,4.0,high_cue,low_stim,1.2,6.0,1.2,2.2,1.0,4.0,9.0,4.0,h048.png,064-ak064,ak064*L.mp4,ak064t1afunaff_L.mp4,2.2,3.2,4.4,8.4,14.4,23.4,24.599999999999998,28.599999999999998
1,13,1,2,4.0,high_cue,low_stim,2.2,1.7,4.3,8.2,1.0,4.0,9.0,4.0,h028.png,121-vw121,vw121*L.mp4,vw121t1aeaff_L.mp4,36.8,37.8,40.0,44.0,45.699999999999996,54.699999999999996,59.0,63.0
2,14,2,2,5.0,high_cue,med_stim,1.0,1.7,3.9,6.7,1.0,4.0,9.0,4.0,h016.png,123-jh123,jh123*M.mp4,jh123t2aaaff_M.mp4,69.7,70.7,71.7,75.7,77.4,86.4,90.3,94.3
3,15,3,2,2.0,low_cue,med_stim,1.0,1.7,1.2,8.2,1.0,4.0,9.0,4.0,l031.png,124-dn124,dn124*M.mp4,dn124t1aeunaff_M.mp4,102.5,103.5,104.5,108.5,110.19999999999999,119.19999999999999,120.39999999999999,124.39999999999999
4,16,4,2,6.0,high_cue,high_stim,2.9,11.6,5.2,2.2,1.0,4.0,9.0,4.0,h035.png,092-ch092,ch092*H.mp4,ch092t2aiaff_H.mp4,126.6,127.6,130.5,134.5,146.1,155.1,160.29999999999998,164.29999999999998
5,17,5,2,3.0,low_cue,high_stim,2.2,5.2,1.8,0.8,1.0,4.0,9.0,4.0,l001.png,124-dn124,dn124*H.mp4,dn124t1aiaff_H.mp4,165.1,166.1,168.29999999999998,172.29999999999998,177.49999999999997,186.49999999999997,188.29999999999998,192.29999999999998
6,18,6,2,6.0,high_cue,high_stim,1.0,6.4,4.8,5.4,1.0,4.0,9.0,4.0,h023.png,120-kz120,kz120*H.mp4,kz120t2aaaff_H.mp4,197.7,198.7,199.7,203.7,210.1,219.1,223.89999999999998,227.89999999999998
7,19,7,2,5.0,high_cue,med_stim,2.2,5.2,4.3,6.3,1.0,4.0,9.0,4.0,h019.png,092-ch092,ch092*M.mp4,ch092t2aaaff_M.mp4,234.2,235.2,237.39999999999998,241.39999999999998,246.59999999999997,255.59999999999997,259.9,263.9
8,20,8,2,1.0,low_cue,low_stim,2.2,3.0,1.2,1.8,1.0,4.0,9.0,4.0,l050.png,092-ch092,ch092*L.mp4,ch092t2aeaff_L.mp4,265.7,266.7,268.9,272.9,275.9,284.9,286.09999999999997,290.09999999999997
9,21,9,2,3.0,low_cue,high_stim,0.9,4.4,4.3,3.5,1.0,4.0,9.0,4.0,l033.png,064-ak064,ak064*H.mp4,ak064t1aaaff_H.mp4,293.59999999999997,294.59999999999997,295.49999999999994,299.49999999999994,303.9,312.9,317.2,321.2
10,22,10,2,1.0,low_cue,low_stim,0.7,3.6,16.8,6.7,1.0,4.0,9.0,4.0,l021.png,123-jh123,jh123*L.mp4,jh123t1aaunaff_L.mp4,327.9,328.9,329.59999999999997,333.59999999999997,337.2,346.2,363.0,367.0
11,23,11,2,2.0,low_cue,med_stim,0.6,3.6,5.0,2.2,1.0,4.0,9.0,4.0,l018.png,120-kz120,kz120*M.mp4,kz120t2aeaff_M.mp4,369.2,370.2,370.8,374.8,378.4,387.4,392.4,396.4
