,Unnamed: 0,index,block,trial_type,cue,stimulus_intensity,ITI,Event1Dur,ISI1,Event2Dur,ISI2,Event3Dur,ISI3,Event4Dur,cue_image,stim_num,same_diff,image_filename,onset_ITI,onset_ev01,onset_ISI1,onset_ev02,onset_ISI2,onset_ev03,onset_ISI3,onset_ev04
0,20,48,5,4.0,high_cue,low_stim,5.1,1.0,1.2,4.0,4.7,9.0,5.2,4.0,h008.png,5,same,5_50.jpg,5.1,6.1,7.3,11.3,16.0,25.0,30.2,34.2
1,68,49,5,2.0,low_cue,med_stim,0.6,1.0,1.4,4.0,1.4,9.0,3.1,4.0,l011.png,5,diff,5_100_R.jpg,34.800000000000004,35.800000000000004,37.2,41.2,42.6,51.6,54.7,58.7
2,21,50,5,4.0,high_cue,low_stim,5.2,1.0,1.2,4.0,7.0,9.0,1.5,4.0,h024.png,42,same,42_50.jpg,63.900000000000006,64.9,66.10000000000001,70.10000000000001,77.1,86.1,87.6,91.6
3,69,51,5,2.0,low_cue,med_stim,1.1,1.0,2.5,4.0,2.6,9.0,6.2,4.0,l038.png,38,diff,38_100_R.jpg,92.69999999999999,93.69999999999999,96.19999999999999,100.19999999999999,102.8,111.8,118.0,122.0
4,8,52,5,6.0,high_cue,high_stim,1.1,1.0,0.7,4.0,0.6,9.0,6.2,4.0,h047.png,27,diff,27_150_R.jpg,123.1,124.1,124.8,128.8,129.4,138.4,144.6,148.6
5,56,53,5,1.0,low_cue,low_stim,0.6,1.0,2.5,4.0,8.2,9.0,5.2,4.0,l016.png,43,same,43_50.jpg,149.2,150.2,152.7,156.7,164.89999999999998,173.89999999999998,179.1,183.1
6,44,54,5,3.0,low_cue,high_stim,1.6,1.0,1.2,4.0,8.2,9.0,6.3,4.0,l042.png,44,diff,44_150_R.jpg,184.7,185.7,186.9,190.9,199.1,208.1,214.4,218.39999999999998
7,57,55,5,1.0,low_cue,low_stim,2.2,1.0,1.2,4.0,0.6,9.0,6.3,4.0,l009.png,38,diff,38_50_R.jpg,220.59999999999997,221.59999999999997,222.79999999999998,226.79999999999998,227.39999999999998,236.39999999999998,242.7,246.7
8,9,56,5,6.0,high_cue,high_stim,9.8,1.0,2.5,4.0,2.6,9.0,3.1,4.0,h025.png,43,diff,43_150_R.jpg,256.5,257.5,260.0,264.0,266.59999999999997,275.59999999999997,278.7,282.7
9,45,57,5,3.0,low_cue,high_stim,6.2,1.0,1.4,4.0,1.6,9.0,1.5,4.0,l043.png,43,same,43_150.jpg,288.9,289.9,291.3,295.3,296.9,305.9,307.4,311.4
10,32,58,5,5.0,high_cue,med_stim,14.5,1.0,1.4,4.0,9.7,9.0,6.0,4.0,h028.png,29,same,29_100.jpg,325.9,326.9,328.29999999999995,332.29999999999995,342.0,351.0,357.0,361.0
11,33,59,5,5.0,high_cue,med_stim,5.8,1.0,1.0,4.0,7.0,9.0,3.2,4.0,h021.png,35,same,35_100.jpg,366.8,367.8,368.8,372.8,379.8,388.8,392.0,396.0
