,Unnamed: 0,index,block,trial_type,cue,stimulus_intensity,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue_image,video_subject,image_glob,video_filename,onset_ITI,onset_ev01,onset_ISI1,onset_ev02,onset_ISI2,onset_ev03,onset_ISI3,onset_ev04
0,0,0,1,4.0,high_cue,low_stim,1.8,4.8,4.3,2.6,1.0,4.0,9.0,4.0,h036.png,096-bg096,bg096*L.mp4,bg096t2afunaff_L.mp4,2.6,3.6,5.4,9.4,14.2,23.2,27.5,31.5
1,1,1,1,6.0,high_cue,high_stim,1.4,4.8,3.5,0.8,1.0,4.0,9.0,4.0,h011.png,101-mg101,mg101*H.mp4,mg101t2aeaff_H.mp4,32.3,33.3,34.7,38.7,43.5,52.5,56.0,60.0
2,2,2,1,5.0,high_cue,med_stim,1.4,4.3,3.5,5.9,1.0,4.0,9.0,4.0,h019.png,109-ib109,ib109*M.mp4,ib109t1afaff_M.mp4,65.9,66.9,68.3,72.3,76.6,85.6,89.1,93.1
3,3,3,1,1.0,low_cue,low_stim,0.5,1.6,5.0,0.7,1.0,4.0,9.0,4.0,l013.png,109-ib109,ib109*L.mp4,ib109t1aiunaff_L.mp4,93.8,94.8,95.3,99.3,100.89999999999999,109.89999999999999,114.89999999999999,118.89999999999999
4,4,4,1,6.0,high_cue,high_stim,1.8,1.6,10.3,2.3,1.0,4.0,9.0,4.0,h024.png,095-tv095,tv095*H.mp4,tv095t1afaff_H.mp4,121.19999999999999,122.19999999999999,123.99999999999999,127.99999999999999,129.6,138.6,148.89999999999998,152.89999999999998
5,5,5,1,4.0,high_cue,low_stim,1.8,4.4,5.4,11.6,1.0,4.0,9.0,4.0,h037.png,049-bm049,bm049*L.mp4,bm049t1afaff_L.mp4,164.49999999999997,165.49999999999997,167.29999999999998,171.29999999999998,175.7,184.7,190.09999999999997,194.09999999999997
6,6,6,1,2.0,low_cue,med_stim,0.9,9.4,1.1,6.4,1.0,4.0,9.0,4.0,l056.png,101-mg101,mg101*M.mp4,mg101t2aeunaff_M.mp4,200.49999999999997,201.49999999999997,202.39999999999998,206.39999999999998,215.79999999999995,224.79999999999995,225.89999999999998,229.89999999999998
7,7,7,1,3.0,low_cue,high_stim,2.2,9.0,3.9,6.0,1.0,4.0,9.0,4.0,l040.png,096-bg096,bg096*H.mp4,bg096t1aeaff_H.mp4,235.89999999999998,236.89999999999998,239.09999999999997,243.09999999999997,252.09999999999997,261.09999999999997,265.0,269.0
8,8,8,1,2.0,low_cue,med_stim,2.2,4.4,8.2,5.1,1.0,4.0,9.0,4.0,l041.png,052-dr052,dr052*M.mp4,dr052t2aaaff_M.mp4,274.1,275.1,277.3,281.3,285.7,294.7,302.9,306.9
9,9,9,1,1.0,low_cue,low_stim,1.8,4.3,3.2,2.6,1.0,4.0,9.0,4.0,l003.png,080-bn080,bn080*L.mp4,bn080t1afunaff_L.mp4,309.5,310.5,312.29999999999995,316.29999999999995,320.59999999999997,329.59999999999997,332.79999999999995,336.79999999999995
10,10,10,1,5.0,high_cue,med_stim,0.7,1.6,3.2,7.8,1.0,4.0,9.0,4.0,h020.png,095-tv095,tv095*M.mp4,tv095t2afaff_M.mp4,344.59999999999997,345.59999999999997,346.29999999999995,350.29999999999995,351.9,360.9,364.09999999999997,368.09999999999997
11,11,11,1,3.0,low_cue,high_stim,1.5,3.9,2.2,2.3,1.0,4.0,9.0,4.0,l009.png,049-bm049,bm049*H.mp4,bm049t2aeunaff_H.mp4,370.4,371.4,372.9,376.9,380.79999999999995,389.79999999999995,391.99999999999994,395.99999999999994
