,Unnamed: 0,index,block,Trial type,cue,stimulus_intensity,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue_image,video_subject,image_glob,video_filename,onset_ITI,onset_ev01,onset_ISI1,onset_ev02,onset_ISI2,onset_ev03,onset_ISI3,onset_ev04
0,0,0,1,5.0,high_cue,med_stim,0.8,7.9,3.7,1.1,1.0,4.0,9.0,4.0,h017.png,047-jl047,jl047*M.mp4,jl047t1aiunaff_M.mp4,1.1,2.1,2.9000000000000004,6.9,14.8,23.8,27.5,31.5
1,1,1,1,2.0,low_cue,med_stim,1.5,0.9,3.7,1.9,1.0,4.0,9.0,4.0,l041.png,095-tv095,tv095*M.mp4,tv095t2afaff_M.mp4,33.4,34.4,35.9,39.9,40.8,49.8,53.5,57.5
2,2,2,1,4.0,high_cue,low_stim,1.5,5.7,6.1,3.3,1.0,4.0,9.0,4.0,h053.png,115-jy115,jy115*L.mp4,jy115t1aaunaff_L.mp4,60.8,61.8,63.3,67.3,73.0,82.0,88.1,92.1
3,3,3,1,2.0,low_cue,med_stim,1.5,6.9,5.9,8.6,1.0,4.0,9.0,4.0,l037.png,064-ak064,ak064*M.mp4,ak064t1aiaff_M.mp4,100.69999999999999,101.69999999999999,103.19999999999999,107.19999999999999,114.1,123.1,129.0,133.0
4,4,4,1,6.0,high_cue,high_stim,2.9,8.6,5.8,3.2,1.0,4.0,9.0,4.0,h001.png,103-jk103,jk103*H.mp4,jk103t1aaaff_H.mp4,136.2,137.2,140.1,144.1,152.7,161.7,167.5,171.5
5,5,5,1,1.0,low_cue,low_stim,1.4,4.5,1.6,16.3,1.0,4.0,9.0,4.0,l004.png,048-aa048,aa048*L.mp4,aa048t2aaunaff_L.mp4,187.8,188.8,190.2,194.2,198.7,207.7,209.3,213.3
6,6,6,1,3.0,low_cue,high_stim,0.8,4.4,5.1,3.1,1.0,4.0,9.0,4.0,l009.png,066-mg066,mg066*H.mp4,mg066t1aaaff_H.mp4,216.4,217.4,218.20000000000002,222.20000000000002,226.60000000000002,235.60000000000002,240.70000000000002,244.70000000000002
7,7,7,1,5.0,high_cue,med_stim,0.6,3.4,2.9,5.1,1.0,4.0,9.0,4.0,h011.png,109-ib109,ib109*M.mp4,ib109t1afaff_M.mp4,249.8,250.8,251.4,255.4,258.8,267.8,270.70000000000005,274.70000000000005
8,8,8,1,4.0,high_cue,low_stim,0.6,0.9,9.9,4.2,1.0,4.0,9.0,4.0,h033.png,064-ak064,ak064*L.mp4,ak064t1afunaff_L.mp4,278.90000000000003,279.90000000000003,280.50000000000006,284.50000000000006,285.40000000000003,294.40000000000003,304.30000000000007,308.30000000000007
9,9,9,1,3.0,low_cue,high_stim,2.9,8.6,4.3,1.1,1.0,4.0,9.0,4.0,l029.png,115-jy115,jy115*H.mp4,jy115t2aaaff_H.mp4,309.4000000000001,310.4000000000001,313.30000000000007,317.30000000000007,325.9000000000001,334.9000000000001,339.20000000000005,343.20000000000005
10,10,10,1,6.0,high_cue,high_stim,0.7,0.7,4.1,2.8,1.0,4.0,9.0,4.0,h021.png,064-ak064,ak064*H.mp4,ak064t1aaaff_H.mp4,346.00000000000006,347.00000000000006,347.70000000000005,351.70000000000005,352.40000000000003,361.40000000000003,365.50000000000006,369.50000000000006
11,11,11,1,1.0,low_cue,low_stim,2.9,1.7,1.1,3.3,1.0,4.0,9.0,4.0,l010.png,095-tv095,tv095*L.mp4,tv095t2aeunaff_L.mp4,372.80000000000007,373.80000000000007,376.70000000000005,380.70000000000005,382.40000000000003,391.40000000000003,392.50000000000006,396.50000000000006
