,Unnamed: 0,Event1 onset,Event2 onset,Event3 onset,Event4 onset,trial_type,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue,stimulus_intensity,cue_image,onset_ITI,onset_ev01,onset_ISI1,onset_ev02,onset_ISI2,onset_ev03,onset_ISI3,onset_ev04
0,0,0.0,3.24,11.7305,21.3711,2.0,2.2,4.1,5.1,5.2,1.0,4.0,9.0,4.0,low_cue,med_stim,l052.png,5.2,6.2,8.4,12.4,16.5,25.5,30.6,34.6
1,1,30.5927,35.9274,44.0282,53.9711,4.0,1.9,4.1,0.9,3.3,1.0,4.0,9.0,4.0,high_cue,low_stim,h038.png,37.9,38.9,40.8,44.8,48.9,57.9,58.8,62.8
2,2,61.2407,66.5754,82.8433,92.3807,6.0,1.9,11.2,5.0,5.2,1.0,4.0,9.0,4.0,high_cue,high_stim,h006.png,68.0,69.0,70.89999999999999,74.89999999999999,86.1,95.1,100.1,104.1
3,3,101.6023,106.802,112.5149,122.0523,2.0,1.8,1.7,0.5,1.9,1.0,4.0,9.0,4.0,low_cue,med_stim,l008.png,106.0,107.0,108.8,112.8,114.5,123.5,124.0,128.0
4,4,126.8545,128.4206,136.5046,146.1452,4.0,0.6,4.1,0.6,3.3,1.0,4.0,9.0,4.0,high_cue,low_stim,h005.png,131.3,132.3,132.9,136.9,141.0,150.0,150.6,154.6
5,5,152.3605,156.2896,161.3236,174.6476,3.0,1.3,1.0,8.8,7.2,1.0,4.0,9.0,4.0,low_cue,high_stim,l004.png,161.79999999999998,162.79999999999998,164.1,168.1,169.1,178.1,186.89999999999998,190.89999999999998
6,6,185.846,187.8443,195.3479,209.5374,1.0,1.0,3.5,5.2,3.3,1.0,4.0,9.0,4.0,low_cue,low_stim,l014.png,194.2,195.2,196.2,200.2,203.7,212.7,217.89999999999998,221.89999999999998
7,7,216.807,221.0362,228.5398,240.6849,5.0,1.4,3.5,3.1,0.8,1.0,4.0,9.0,4.0,high_cue,med_stim,h040.png,222.7,223.7,225.09999999999997,229.09999999999997,232.59999999999997,241.59999999999997,244.7,248.7
8,8,245.4872,248.7271,254.44,269.9687,3.0,1.0,1.7,6.5,3.6,1.0,4.0,9.0,4.0,low_cue,high_stim,l039.png,252.29999999999998,253.29999999999998,254.29999999999998,258.3,260.0,269.0,275.5,279.5
9,9,277.5335,282.8682,291.0909,303.2856,5.0,1.9,4.2,3.2,6.3,1.0,4.0,9.0,4.0,high_cue,med_stim,h036.png,285.8,286.8,288.7,292.7,296.9,305.9,309.1,313.1
10,10,312.5072,317.707,325.9297,339.2537,1.0,1.8,4.2,8.8,3.3,1.0,4.0,9.0,4.0,low_cue,low_stim,l038.png,316.40000000000003,317.40000000000003,319.20000000000005,323.20000000000005,327.40000000000003,336.40000000000003,345.20000000000005,349.20000000000005
11,11,345.469,349.6983,365.3507,376.0856,6.0,1.4,10.7,6.2,10.5,1.0,4.0,9.0,4.0,high_cue,high_stim,h008.png,359.70000000000005,360.70000000000005,362.1,366.1,376.80000000000007,385.80000000000007,392.00000000000006,396.00000000000006
