,Unnamed: 0,index,block,Trial type,cue,stimulus_intensity,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue_image,video_subject,image_glob,video_filename,onset_ITI,onset_ev01,onset_ISI1,onset_ev02,onset_ISI2,onset_ev03,onset_ISI3,onset_ev04
0,0,0,1,4.0,high_cue,low_stim,1.4,8.8,2.4,1.9,1.0,4.0,9.0,4.0,h026.png,042-ll042,ll042*L.mp4,ll042t1aaunaff_L.mp4,1.9,2.9,4.3,8.3,17.1,26.1,28.5,32.5
1,1,1,1,1.0,low_cue,low_stim,0.8,1.1,4.2,1.9,1.0,4.0,9.0,4.0,l036.png,121-vw121,vw121*L.mp4,vw121t1aeaff_L.mp4,34.4,35.4,36.2,40.2,41.3,50.3,54.5,58.5
2,2,2,1,2.0,low_cue,med_stim,1.1,6.8,2.6,0.9,1.0,4.0,9.0,4.0,l024.png,121-vw121,vw121*M.mp4,vw121t1aiaff_M.mp4,59.4,60.4,61.5,65.5,72.3,81.3,83.9,87.9
3,3,3,1,3.0,low_cue,high_stim,2.1,5.2,2.3,1.1,1.0,4.0,9.0,4.0,l023.png,108-th108,th108*H.mp4,th108t1aeaff_H.mp4,89.0,90.0,92.10000000000001,96.10000000000001,101.30000000000001,110.30000000000001,112.60000000000001,116.60000000000001
4,4,4,1,5.0,high_cue,med_stim,1.4,5.6,3.6,0.7,1.0,4.0,9.0,4.0,h041.png,042-ll042,ll042*M.mp4,ll042t1afunaff_M.mp4,117.30000000000001,118.30000000000001,119.7,123.7,129.3,138.3,141.9,145.9
5,5,5,1,6.0,high_cue,high_stim,1.1,5.5,2.7,0.6,1.0,4.0,9.0,4.0,h022.png,121-vw121,vw121*H.mp4,vw121t1aaaff_H.mp4,146.5,147.5,148.6,152.6,158.1,167.1,169.8,173.8
6,6,6,1,4.0,high_cue,low_stim,1.1,2.6,10.9,2.0,1.0,4.0,9.0,4.0,h005.png,124-dn124,dn124*L.mp4,dn124t1aaunaff_L.mp4,175.8,176.8,177.9,181.9,184.5,193.5,204.4,208.4
7,7,7,1,6.0,high_cue,high_stim,1.1,0.9,5.6,7.8,1.0,4.0,9.0,4.0,h037.png,124-dn124,dn124*H.mp4,dn124t1aiaff_H.mp4,216.20000000000002,217.20000000000002,218.3,222.3,223.20000000000002,232.20000000000002,237.8,241.8
8,8,8,1,1.0,low_cue,low_stim,2.1,4.6,4.3,0.9,1.0,4.0,9.0,4.0,l031.png,052-dr052,dr052*L.mp4,dr052t1aeunaff_L.mp4,242.70000000000002,243.70000000000002,245.8,249.8,254.4,263.40000000000003,267.7,271.7
9,9,9,1,2.0,low_cue,med_stim,2.1,5.3,4.2,1.9,1.0,4.0,9.0,4.0,l027.png,097-gf097,gf097*M.mp4,gf097t1aiaff_M.mp4,273.59999999999997,274.59999999999997,276.7,280.7,286.0,295.0,299.2,303.2
10,10,10,1,3.0,low_cue,high_stim,1.4,1.4,1.4,17.0,1.0,4.0,9.0,4.0,l028.png,097-gf097,gf097*H.mp4,gf097t2aaunaff_H.mp4,320.2,321.2,322.59999999999997,326.59999999999997,328.0,337.0,338.4,342.4
11,11,11,1,5.0,high_cue,med_stim,2.1,6.1,9.6,17.1,1.0,4.0,9.0,4.0,h030.png,080-bn080,bn080*M.mp4,bn080t1aeaff_M.mp4,359.5,360.5,362.59999999999997,366.59999999999997,372.7,381.7,391.29999999999995,395.29999999999995
