,Unnamed: 0,Event1 onset,Event2 onset,Event3 onset,Event4 onset,trial_type,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue,stimulus_intensity,cue_image,onset_ITI,onset_ev01,onset_ISI1,onset_ev02,onset_ISI2,onset_ev03,onset_ISI3,onset_ev04
0,0,0.0,1.631,6.9983,18.9659,6.0,0.6,5.9,3.0,6.3,1.0,4.0,9.0,4.0,high_cue,high_stim,h002.png,6.3,7.3,7.8999999999999995,11.899999999999999,17.799999999999997,26.799999999999997,29.799999999999997,33.8
1,1,23.8249,25.7604,32.5182,53.4175,1.0,0.9,7.3,7.8,8.9,1.0,4.0,9.0,4.0,low_cue,low_stim,l040.png,42.699999999999996,43.699999999999996,44.599999999999994,48.599999999999994,55.9,64.9,72.69999999999999,76.69999999999999
2,2,66.2883,70.4473,78.9169,98.4841,4.0,1.3,9.0,6.9,7.7,1.0,4.0,9.0,4.0,high_cue,low_stim,h033.png,84.39999999999999,85.39999999999999,86.69999999999999,90.69999999999999,99.69999999999999,108.69999999999999,115.6,119.6
3,3,104.7566,106.6922,111.7615,124.2826,5.0,0.9,1.1,3.5,6.7,1.0,4.0,9.0,4.0,high_cue,med_stim,h020.png,126.3,127.3,128.2,132.2,133.29999999999998,142.29999999999998,145.79999999999998,149.79999999999998
4,4,129.5979,136.0269,141.3943,157.1444,1.0,2.2,5.9,6.8,2.8,1.0,4.0,9.0,4.0,low_cue,low_stim,l032.png,152.6,153.6,155.79999999999998,159.79999999999998,165.7,174.7,181.49999999999997,185.5
5,5,163.9567,169.2313,174.5987,185.08,3.0,1.7,1.4,1.5,1.3,1.0,4.0,9.0,4.0,low_cue,high_stim,l031.png,186.8,187.8,189.5,193.5,194.9,203.9,205.4,209.4
6,6,190.3953,194.5543,200.2963,210.8975,2.0,1.3,1.7,1.6,1.9,1.0,4.0,9.0,4.0,low_cue,med_stim,l038.png,211.3,212.3,213.6,217.6,219.3,228.3,229.9,233.9
7,7,216.7533,219.165,224.2343,239.4529,2.0,1.4,1.1,6.2,2.3,1.0,4.0,9.0,4.0,low_cue,med_stim,l044.png,236.20000000000002,237.20000000000002,238.6,242.6,243.70000000000002,252.7,258.9,262.9
8,8,245.7254,252.1544,260.6234,275.8419,3.0,2.2,4.5,6.2,2.3,1.0,4.0,9.0,4.0,low_cue,high_stim,l005.png,265.2,266.2,268.4,272.4,276.9,285.9,292.09999999999997,296.09999999999997
9,9,282.0937,288.2543,295.2577,311.0078,4.0,2.1,3.0,4.5,6.1,1.0,4.0,9.0,4.0,high_cue,low_stim,h001.png,302.2,303.2,305.29999999999995,309.29999999999995,312.29999999999995,321.29999999999995,325.79999999999995,329.79999999999995
10,10,315.7246,320.9992,329.4689,343.9945,5.0,1.7,4.5,5.5,6.6,1.0,4.0,9.0,4.0,high_cue,med_stim,h035.png,336.4,337.4,339.09999999999997,343.09999999999997,347.59999999999997,356.59999999999997,362.09999999999997,366.09999999999997
11,11,349.2144,354.4891,362.7253,372.2714,6.0,1.7,8.7,0.5,1.2,1.0,4.0,9.0,4.0,high_cue,high_stim,h056.png,367.29999999999995,368.29999999999995,369.99999999999994,373.99999999999994,382.7,391.7,392.2,396.2
