,Unnamed: 0,Event1 onset,Event2 onset,Event3 onset,Event4 onset,trial_type,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue,stimulus_intensity,cue_image,onset_ITI,onset_ev01,onset_ISI1,onset_ev02,onset_ISI2,onset_ev03,onset_ISI3,onset_ev04
0,0,0.0,4.3092,12.9922,32.529,4.0,1.2,4.7,5.2,1.1,1.0,4.0,9.0,4.0,high_cue,low_stim,h032.png,1.1,2.1,3.3,7.3,12.0,21.0,26.2,30.2
1,1,37.6291,42.4273,47.86,59.93899999999999,2.0,1.4,7.8,3.1,0.6,1.0,4.0,9.0,4.0,low_cue,med_stim,l014.png,30.8,31.8,33.2,37.2,45.0,54.0,57.1,61.1
2,2,64.5128,66.6759,71.2592,81.7797,4.0,1.2,0.6,1.5,1.2,1.0,4.0,9.0,4.0,high_cue,low_stim,h033.png,62.300000000000004,63.300000000000004,64.5,68.5,69.1,78.1,79.6,83.6
3,3,86.9736,94.8147,101.3748,122.8327,2.0,2.5,9.0,6.2,1.1,1.0,4.0,9.0,4.0,low_cue,med_stim,l023.png,84.69999999999999,85.69999999999999,88.19999999999999,92.19999999999999,101.19999999999999,110.19999999999999,116.4,120.4
4,4,127.9329,130.7547,135.3095,156.7675,6.0,0.7,0.6,6.2,1.1,1.0,4.0,9.0,4.0,high_cue,high_stim,h017.png,121.5,122.5,123.2,127.2,127.80000000000001,136.8,143.0,147.0
5,5,161.8676,169.7087,175.5107,195.0475,1.0,2.5,1.8,5.2,0.6,1.0,4.0,9.0,4.0,low_cue,low_stim,l028.png,147.6,148.6,151.1,155.1,156.9,165.9,171.1,175.1
6,6,199.6213,201.7843,207.5864,222.9187,3.0,1.2,8.2,6.3,5.6,1.0,4.0,9.0,4.0,low_cue,high_stim,l049.png,180.7,181.7,182.9,186.9,195.1,204.1,210.39999999999998,214.39999999999998
7,7,228.495,230.658,235.2129,250.5452,1.0,1.2,0.6,6.3,6.2,1.0,4.0,9.0,4.0,low_cue,low_stim,l004.png,220.59999999999997,221.59999999999997,222.79999999999998,226.79999999999998,227.39999999999998,236.39999999999998,242.7,246.7
8,8,256.7005,264.5416,271.1017,286.434,6.0,2.5,9.0,3.1,9.8,1.0,4.0,9.0,4.0,high_cue,high_stim,h045.png,256.5,257.5,260.0,264.0,273.0,282.0,285.09999999999997,289.09999999999997
9,9,296.2321,301.0302,306.6097,317.1302,3.0,1.4,1.6,1.5,2.2,1.0,4.0,9.0,4.0,low_cue,high_stim,l055.png,291.29999999999995,292.29999999999995,293.7,297.7,299.29999999999995,308.29999999999995,309.79999999999995,313.79999999999995
10,10,323.2855,328.0836,335.4178,350.4441,5.0,1.4,3.3,6.0,14.5,1.0,4.0,9.0,4.0,high_cue,med_stim,h004.png,328.29999999999995,329.29999999999995,330.69999999999993,334.69999999999993,337.99999999999994,346.99999999999994,352.99999999999994,356.99999999999994
11,11,364.9743,368.7168,373.3002,385.5296,5.0,1.0,7.0,3.2,9.8,1.0,4.0,9.0,4.0,high_cue,med_stim,h038.png,366.79999999999995,367.79999999999995,368.79999999999995,372.79999999999995,379.79999999999995,388.79999999999995,391.99999999999994,395.99999999999994
