,Unnamed: 0,Event1 onset,Event2 onset,Event3 onset,Event4 onset,Trial type,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue,stimulus_intensity,cue_image,onset_ITI,onset_ev01,onset_ISI1,onset_ev02,onset_ISI2,onset_ev03,onset_ISI3,onset_ev04
0,0,0.0,4.7751,13.3426,24.7781,4.0,1.4,8.8,2.4,1.9,1.0,4.0,9.0,4.0,high_cue,low_stim,h027.png,1.9,2.9,4.3,8.3,17.1,26.1,28.5,32.5
1,1,30.6699,32.4806,37.6043,49.5037,1.0,0.8,1.1,4.2,1.9,1.0,4.0,9.0,4.0,low_cue,low_stim,l029.png,34.4,35.4,36.2,40.2,41.3,50.3,54.5,58.5
2,2,55.4326,57.5708,64.1815,75.7618,2.0,1.1,6.8,2.6,0.9,1.0,4.0,9.0,4.0,low_cue,med_stim,l055.png,59.4,60.4,61.5,65.5,72.3,81.3,83.9,87.9
3,3,80.6363,87.2454,96.4051,107.7384,3.0,2.1,5.2,2.3,1.1,1.0,4.0,9.0,4.0,low_cue,high_stim,l048.png,89.0,90.0,92.10000000000001,96.10000000000001,101.30000000000001,110.30000000000001,112.60000000000001,116.60000000000001
4,4,112.715,117.4901,122.9117,134.245,5.0,1.4,5.6,3.6,0.7,1.0,4.0,9.0,4.0,high_cue,med_stim,h011.png,117.30000000000001,118.30000000000001,119.7,123.7,129.3,138.3,141.9,145.9
5,5,138.8906,141.0289,146.3595,156.792,6.0,1.1,5.5,2.7,0.6,1.0,4.0,9.0,4.0,high_cue,high_stim,h041.png,146.5,147.5,148.6,152.6,158.1,167.1,169.8,173.8
6,6,161.4375,165.2519,171.8362,191.7009,4.0,1.1,2.6,10.9,2.0,1.0,4.0,9.0,4.0,high_cue,low_stim,h022.png,175.8,176.8,177.9,181.9,184.5,193.5,204.4,208.4
7,7,197.6477,201.462,206.3882,219.6394,6.0,1.1,0.9,5.6,7.8,1.0,4.0,9.0,4.0,high_cue,high_stim,h001.png,216.20000000000002,217.20000000000002,218.3,222.3,223.20000000000002,232.20000000000002,237.8,241.8
8,8,231.351,237.9601,246.5277,259.7789,1.0,2.1,4.6,4.3,0.9,1.0,4.0,9.0,4.0,low_cue,low_stim,l039.png,242.70000000000002,243.70000000000002,245.8,249.8,254.4,263.40000000000003,267.7,271.7
9,9,264.6534,271.2626,276.3862,288.2856,2.0,2.1,5.3,4.2,1.9,1.0,4.0,9.0,4.0,low_cue,med_stim,l053.png,273.59999999999997,274.59999999999997,276.7,280.7,286.0,295.0,299.2,303.2
10,10,294.1774,298.9525,304.3742,314.8066,3.0,1.4,1.4,1.4,17.0,1.0,4.0,9.0,4.0,low_cue,high_stim,l028.png,320.2,321.2,322.59999999999997,326.59999999999997,328.0,337.0,338.4,342.4
11,11,335.8163,342.4254,352.5722,371.1622,5.0,2.1,6.1,9.6,17.1,1.0,4.0,9.0,4.0,high_cue,med_stim,h031.png,359.5,360.5,362.59999999999997,366.59999999999997,372.7,381.7,391.29999999999995,395.29999999999995
