,Unnamed: 0,index,block,trial_type,cue,stimulus_intensity,ITI,Event1Dur,ISI1,Event2Dur,ISI2,Event3Dur,ISI3,Event4Dur,cue_image,stim_num,same_diff,image_filename,onset_ITI,onset_ev01,onset_ISI1,onset_ev02,onset_ISI2,onset_ev03,onset_ISI3,onset_ev04
0,28,24,3,5.0,high_cue,med_stim,7.3,1.0,1.3,4.0,1.8,9.0,4.3,4.0,h049.png,29,same,29_100.jpg,7.3,8.3,9.600000000000001,13.600000000000001,15.400000000000002,24.400000000000002,28.700000000000003,32.7
1,16,25,3,4.0,high_cue,low_stim,0.8,1.0,1.9,4.0,2.3,9.0,1.3,4.0,h007.png,39,diff,39_50_R.jpg,33.5,34.5,36.400000000000006,40.400000000000006,42.7,51.7,53.0,57.0
2,64,26,3,2.0,low_cue,med_stim,8.6,1.0,1.9,4.0,3.2,9.0,8.9,4.0,l037.png,17,diff,17_100_R.jpg,65.6,66.6,68.5,72.5,75.7,84.7,93.6,97.6
3,4,27,3,6.0,high_cue,high_stim,2.7,1.0,1.9,4.0,3.2,9.0,4.8,4.0,h030.png,27,same,27_150.jpg,100.3,101.3,103.19999999999999,107.19999999999999,110.39999999999999,119.39999999999999,124.19999999999999,128.2
4,5,28,3,6.0,high_cue,high_stim,8.6,1.0,1.1,4.0,12.1,9.0,2.9,4.0,h044.png,8,diff,8_150_R.jpg,136.79999999999998,137.79999999999998,138.89999999999998,142.89999999999998,155.0,164.0,166.89999999999998,170.89999999999998
5,40,29,3,3.0,low_cue,high_stim,2.0,1.0,1.8,4.0,3.2,9.0,1.3,4.0,l036.png,12,same,12_150.jpg,172.89999999999998,173.89999999999998,175.7,179.7,182.89999999999998,191.89999999999998,193.2,197.2
6,29,30,3,5.0,high_cue,med_stim,3.1,1.0,1.3,4.0,6.2,9.0,5.4,4.0,h027.png,6,same,6_100.jpg,200.29999999999998,201.29999999999998,202.6,206.6,212.79999999999998,221.79999999999998,227.2,231.2
7,17,31,3,4.0,high_cue,low_stim,1.8,1.0,1.0,4.0,1.5,9.0,4.7,4.0,h047.png,29,same,29_50.jpg,233.0,234.0,235.0,239.0,240.5,249.5,254.2,258.2
8,41,32,3,3.0,low_cue,high_stim,1.8,1.0,1.2,4.0,1.8,9.0,10.0,4.0,l018.png,41,same,41_150.jpg,260.0,261.0,262.2,266.2,268.0,277.0,287.0,291.0
9,52,33,3,1.0,low_cue,low_stim,0.8,1.0,1.9,4.0,5.4,9.0,2.9,4.0,l043.png,6,diff,6_50_R.jpg,291.8,292.8,294.7,298.7,304.1,313.1,316.0,320.0
10,53,34,3,1.0,low_cue,low_stim,10.2,1.0,1.6,4.0,12.1,9.0,1.3,4.0,l001.png,17,diff,17_50_R.jpg,330.2,331.2,332.8,336.8,348.9,357.9,359.2,363.2
11,65,35,3,2.0,low_cue,med_stim,6.3,1.0,1.0,4.0,1.1,9.0,6.4,4.0,l047.png,12,same,12_100.jpg,369.5,370.5,371.5,375.5,376.59999999999997,385.59999999999997,392.0,396.0
