,Unnamed: 0,index,block,trial_type,cue,stimulus_intensity,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue_image,video_subject,image_glob,video_filename,onset_ITI,onset_ev01,onset_ISI1,onset_ev02,onset_ISI2,onset_ev03,onset_ISI3,onset_ev04
0,0,0,1,4.0,high_cue,low_stim,1.4,4.6,2.4,2.0,1.0,4.0,9.0,4.0,h021.png,043-jh043,jh043*L.mp4,jh043t2aaunaff_L.mp4,2.0,3.0,4.4,8.4,13.0,22.0,24.4,28.4
1,1,1,1,1.0,low_cue,low_stim,0.8,5.3,2.9,1.9,1.0,4.0,9.0,4.0,l008.png,106-nm106,nm106*L.mp4,nm106t1aaunaff_L.mp4,30.299999999999997,31.299999999999997,32.1,36.1,41.4,50.4,53.3,57.3
2,2,2,1,2.0,low_cue,med_stim,1.1,2.6,2.6,1.0,1.0,4.0,9.0,4.0,l042.png,106-nm106,nm106*M.mp4,nm106t2aaunaff_M.mp4,58.3,59.3,60.4,64.39999999999999,67.0,76.0,78.6,82.6
3,3,3,1,3.0,low_cue,high_stim,2.1,5.2,2.3,1.1,1.0,4.0,9.0,4.0,l043.png,106-nm106,nm106*H.mp4,nm106t1afaff_H.mp4,83.69999999999999,84.69999999999999,86.8,90.8,96.0,105.0,107.3,111.3
4,4,4,1,5.0,high_cue,med_stim,1.4,1.4,2.3,0.7,1.0,4.0,9.0,4.0,h004.png,107-hs107,hs107*M.mp4,hs107t2aaaff_M.mp4,112.0,113.0,114.39999999999999,118.39999999999999,119.8,128.8,131.1,135.1
5,5,5,1,6.0,high_cue,high_stim,1.1,1.3,2.7,0.6,1.0,4.0,9.0,4.0,h017.png,092-ch092,ch092*H.mp4,ch092t2aiaff_H.mp4,135.7,136.7,137.79999999999998,141.79999999999998,143.1,152.1,154.79999999999998,158.79999999999998
6,6,6,1,4.0,high_cue,low_stim,1.1,6.8,12.2,1.9,1.0,4.0,9.0,4.0,h046.png,120-kz120,kz120*L.mp4,kz120t2aaunaff_L.mp4,160.7,161.7,162.79999999999998,166.79999999999998,173.6,182.6,194.79999999999998,198.79999999999998
7,7,7,1,6.0,high_cue,high_stim,1.1,0.9,4.3,7.8,1.0,4.0,9.0,4.0,h003.png,096-bg096,bg096*H.mp4,bg096t1aeaff_H.mp4,206.6,207.6,208.7,212.7,213.6,222.6,226.89999999999998,230.89999999999998
8,8,8,1,1.0,low_cue,low_stim,2.1,8.8,5.6,0.9,1.0,4.0,9.0,4.0,l053.png,092-ch092,ch092*L.mp4,ch092t2aeaff_L.mp4,231.79999999999998,232.79999999999998,234.89999999999998,238.89999999999998,247.7,256.7,262.29999999999995,266.29999999999995
9,9,9,1,2.0,low_cue,med_stim,2.1,5.3,4.2,1.9,1.0,4.0,9.0,4.0,l022.png,043-jh043,jh043*M.mp4,jh043t2aeunaff_M.mp4,268.19999999999993,269.19999999999993,271.29999999999995,275.29999999999995,280.59999999999997,289.59999999999997,293.79999999999995,297.79999999999995
10,10,10,1,3.0,low_cue,high_stim,1.4,1.4,2.7,17.0,1.0,4.0,9.0,4.0,l029.png,043-jh043,jh043*H.mp4,jh043t2aeaff_H.mp4,314.79999999999995,315.79999999999995,317.19999999999993,321.19999999999993,322.59999999999997,331.59999999999997,334.29999999999995,338.29999999999995
11,11,11,1,5.0,high_cue,med_stim,2.1,10.3,9.6,17.0,1.0,4.0,9.0,4.0,h042.png,092-ch092,ch092*M.mp4,ch092t2aaaff_M.mp4,355.29999999999995,356.29999999999995,358.4,362.4,372.69999999999993,381.69999999999993,391.29999999999995,395.29999999999995
