,Unnamed: 0,Event1 onset,Event2 onset,Event3 onset,Event4 onset,trial_type,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue,stimulus_intensity,cue_image,onset_ITI,onset_ev01,onset_ISI1,onset_ev02,onset_ISI2,onset_ev03,onset_ISI3,onset_ev04
0,0,0.0,3.2109,7.8348,20.8438,1.0,0.8,4.7,4.0,11.4,1.0,4.0,9.0,4.0,low_cue,low_stim,l011.png,11.4,12.4,13.200000000000001,17.200000000000003,21.900000000000002,30.900000000000002,34.900000000000006,38.900000000000006
1,1,35.4753,41.9733,46.5972,60.4263,2.0,2.0,4.7,4.8,2.1,1.0,4.0,9.0,4.0,low_cue,med_stim,l052.png,41.00000000000001,42.00000000000001,44.00000000000001,48.00000000000001,52.7,61.7,66.5,70.5
2,2,65.6977,72.1957,76.9562,88.7881,5.0,2.0,0.8,2.8,4.5,1.0,4.0,9.0,4.0,high_cue,med_stim,h049.png,75.0,76.0,78.0,82.0,82.8,91.8,94.6,98.6
3,3,96.5074,100.0391,107.3975,119.62,3.0,0.9,7.5,3.2,9.1,1.0,4.0,9.0,4.0,low_cue,high_stim,l030.png,107.69999999999999,108.69999999999999,109.6,113.6,121.1,130.1,133.3,137.3
4,4,132.6909,134.3414,140.8006,154.0304,5.0,0.7,2.5,5.9,10.6,1.0,4.0,9.0,4.0,high_cue,med_stim,h030.png,147.9,148.9,149.60000000000002,153.60000000000002,156.10000000000002,165.10000000000002,171.0,175.0
5,5,168.662,171.7673,178.0058,190.0937,3.0,2.1,2.2,3.1,0.9,1.0,4.0,9.0,4.0,low_cue,high_stim,l038.png,175.9,176.9,179.0,183.0,185.2,194.2,197.3,201.3
6,6,195.0269,201.5249,210.8671,224.097,1.0,2.0,5.3,5.9,1.3,1.0,4.0,9.0,4.0,low_cue,low_stim,l042.png,202.60000000000002,203.60000000000002,205.60000000000002,209.60000000000002,214.9,223.9,229.8,233.8
7,7,229.3683,231.0189,235.7794,248.0019,6.0,0.7,0.8,4.9,0.9,1.0,4.0,9.0,4.0,high_cue,high_stim,h017.png,234.70000000000002,235.70000000000002,236.4,240.4,241.20000000000002,250.20000000000002,255.10000000000002,259.1
8,8,252.9352,259.4331,265.6716,278.6806,6.0,2.0,2.2,4.0,3.9,1.0,4.0,9.0,4.0,high_cue,high_stim,h023.png,263.0,264.0,266.0,270.0,272.20000000000005,281.20000000000005,285.20000000000005,289.20000000000005
9,9,286.6133,292.4852,307.0462,318.1974,4.0,1.8,10.6,3.9,4.7,1.0,4.0,9.0,4.0,high_cue,low_stim,h035.png,293.90000000000003,294.90000000000003,296.70000000000005,300.70000000000005,311.30000000000007,320.30000000000007,324.20000000000005,328.20000000000005
10,10,326.13,332.2622,337.0227,351.069,4.0,1.9,4.9,5.0,1.7,1.0,4.0,9.0,4.0,high_cue,low_stim,h039.png,329.90000000000003,330.90000000000003,332.80000000000007,336.80000000000007,341.70000000000005,350.70000000000005,355.70000000000005,359.70000000000005
11,11,356.0022,359.534,367.0738,381.1201,2.0,0.9,7.6,6.7,2.8,1.0,4.0,9.0,4.0,low_cue,med_stim,l041.png,362.50000000000006,363.50000000000006,364.40000000000003,368.40000000000003,376.00000000000006,385.00000000000006,391.70000000000005,395.70000000000005
