,Unnamed: 0,Event1 onset,Event2 onset,Event3 onset,Event4 onset,Trial type,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue,stimulus_intensity,cue_image,onset_ITI,onset_ev01,onset_ISI1,onset_ev02,onset_ISI2,onset_ev03,onset_ISI3,onset_ev04
0,0,0.0,7.6997,16.1443,26.8888,2.0,2.3,4.4,1.7,2.9,1.0,4.0,9.0,4.0,low_cue,med_stim,l018.png,2.9,3.9,6.199999999999999,10.2,14.6,23.6,25.3,29.3
1,1,33.7716,36.4818,41.4658,52.7473,4.0,1.7,1.0,6.5,2.9,1.0,4.0,9.0,4.0,high_cue,low_stim,h017.png,32.2,33.2,34.9,38.9,39.9,48.900000000000006,55.400000000000006,59.400000000000006
2,2,59.6301,66.819,72.6518,83.697,3.0,2.2,6.5,6.2,0.5,1.0,4.0,9.0,4.0,low_cue,high_stim,l023.png,59.900000000000006,60.900000000000006,63.10000000000001,67.10000000000001,73.60000000000001,82.60000000000001,88.80000000000001,92.80000000000001
3,3,88.1977,92.8924,99.095,109.2532,5.0,1.3,2.2,1.2,0.5,1.0,4.0,9.0,4.0,high_cue,med_stim,h038.png,93.30000000000001,94.30000000000001,95.60000000000001,99.60000000000001,101.80000000000001,110.80000000000001,112.00000000000001,116.00000000000001
4,4,113.7539,116.4641,123.1867,134.232,2.0,1.7,2.7,6.2,12.8,1.0,4.0,9.0,4.0,low_cue,med_stim,l004.png,128.8,129.8,131.5,135.5,138.20000000000002,147.20000000000002,153.4,157.4
5,5,155.0607,159.7554,168.2,177.9604,3.0,1.3,9.1,0.8,3.2,1.0,4.0,9.0,4.0,low_cue,high_stim,l012.png,160.6,161.6,162.9,166.9,176.0,185.0,185.8,189.8
6,6,185.1179,187.8282,194.0309,216.5269,6.0,0.6,2.2,17.7,0.8,1.0,4.0,9.0,4.0,high_cue,high_stim,h042.png,190.60000000000002,191.60000000000002,192.20000000000002,196.20000000000002,198.4,207.4,225.10000000000002,229.10000000000002
7,7,221.2934,222.9331,228.7952,239.8404,1.0,0.6,1.9,2.0,2.5,1.0,4.0,9.0,4.0,low_cue,low_stim,l020.png,231.60000000000002,232.60000000000002,233.20000000000002,237.20000000000002,239.10000000000002,248.10000000000002,250.10000000000002,254.10000000000002
8,8,246.3856,250.0185,258.4631,271.1607,1.0,0.9,9.1,7.9,2.2,1.0,4.0,9.0,4.0,low_cue,low_stim,l019.png,256.3,257.3,258.20000000000005,262.20000000000005,271.3,280.3,288.20000000000005,292.20000000000005
9,9,277.3201,284.5091,290.3712,301.1156,4.0,2.2,1.9,1.7,12.8,1.0,4.0,9.0,4.0,high_cue,low_stim,h039.png,305.00000000000006,306.00000000000006,308.20000000000005,312.20000000000005,314.1,323.1,324.80000000000007,328.80000000000007
10,10,321.9444,325.5773,331.6006,342.0848,5.0,0.9,6.7,1.5,9.1,1.0,4.0,9.0,4.0,high_cue,med_stim,h032.png,337.9000000000001,338.9000000000001,339.80000000000007,343.80000000000007,350.50000000000006,359.50000000000006,361.00000000000006,365.00000000000006
11,11,358.02,365.7197,371.5383,381.2987,6.0,2.3,6.5,0.8,3.7,1.0,4.0,9.0,4.0,high_cue,high_stim,h025.png,368.70000000000005,369.70000000000005,372.00000000000006,376.00000000000006,382.50000000000006,391.50000000000006,392.30000000000007,396.30000000000007
