,Unnamed: 0,index,block,Trial type,cue,stimulus_intensity,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue_image,video_subject,image_glob,video_filename,onset_ITI,onset_ev01,onset_ISI1,onset_ev02,onset_ISI2,onset_ev03,onset_ISI3,onset_ev04
0,0,0,1,2.0,low_cue,med_stim,1.0,4.7,2.9,2.7,1.0,4.0,9.0,4.0,l040.png,047-jl047,jl047*M.mp4,jl047t1aiunaff_M.mp4,2.7,3.7,4.7,8.7,13.399999999999999,22.4,25.299999999999997,29.299999999999997
1,1,1,1,1.0,low_cue,low_stim,1.3,7.5,1.9,1.7,1.0,4.0,9.0,4.0,l044.png,103-jk103,jk103*L.mp4,jk103t1aaunaff_L.mp4,30.999999999999996,31.999999999999996,33.3,37.3,44.8,53.8,55.699999999999996,59.699999999999996
2,2,2,1,3.0,low_cue,high_stim,1.3,4.8,2.1,11.7,1.0,4.0,9.0,4.0,l001.png,115-jy115,jy115*H.mp4,jy115t2aaaff_H.mp4,71.39999999999999,72.39999999999999,73.69999999999999,77.69999999999999,82.5,91.5,93.6,97.6
3,3,3,1,4.0,high_cue,low_stim,1.8,2.6,5.2,3.4,1.0,4.0,9.0,4.0,h047.png,047-jl047,jl047*L.mp4,jl047t1aaunaff_L.mp4,101.0,102.0,103.8,107.8,110.39999999999999,119.39999999999999,124.6,128.6
4,4,4,1,5.0,high_cue,med_stim,0.7,9.0,5.2,6.9,1.0,4.0,9.0,4.0,h025.png,066-mg066,mg066*M.mp4,mg066t2aaunaff_M.mp4,135.5,136.5,137.2,141.2,150.2,159.2,164.4,168.4
5,5,5,1,6.0,high_cue,high_stim,0.8,2.6,5.2,6.9,1.0,4.0,9.0,4.0,h033.png,066-mg066,mg066*H.mp4,mg066t1aaaff_H.mp4,175.3,176.3,177.1,181.1,183.70000000000002,192.70000000000002,197.9,201.9
6,6,6,1,4.0,high_cue,low_stim,2.0,3.6,9.5,2.0,1.0,4.0,9.0,4.0,h001.png,108-th108,th108*L.mp4,th108t1aaunaff_L.mp4,203.9,204.9,206.9,210.9,214.5,223.5,233.0,237.0
7,7,7,1,3.0,low_cue,high_stim,1.7,2.9,1.0,2.2,1.0,4.0,9.0,4.0,l042.png,103-jk103,jk103*H.mp4,jk103t1aaaff_H.mp4,239.2,240.2,241.9,245.9,248.8,257.8,258.8,262.8
8,8,8,1,6.0,high_cue,high_stim,2.0,1.9,11.8,5.2,1.0,4.0,9.0,4.0,h029.png,108-th108,th108*H.mp4,th108t1aeaff_H.mp4,268.0,269.0,271.0,275.0,276.90000000000003,285.90000000000003,297.70000000000005,301.70000000000005
9,9,9,1,2.0,low_cue,med_stim,1.3,3.6,1.9,2.0,1.0,4.0,9.0,4.0,l046.png,103-jk103,jk103*M.mp4,jk103t2aaunaff_M.mp4,303.70000000000005,304.70000000000005,306.00000000000006,310.00000000000006,313.6,322.6,324.50000000000006,328.50000000000006
10,10,10,1,5.0,high_cue,med_stim,2.0,6.3,5.4,2.2,1.0,4.0,9.0,4.0,h052.png,048-aa048,aa048*M.mp4,aa048t2afunaff_M.mp4,330.70000000000005,331.70000000000005,333.70000000000005,337.70000000000005,344.00000000000006,353.00000000000006,358.40000000000003,362.40000000000003
11,11,11,1,1.0,low_cue,low_stim,2.0,4.6,2.0,6.9,1.0,4.0,9.0,4.0,l045.png,097-gf097,gf097*L.mp4,gf097t2aiunaff_L.mp4,369.3,370.3,372.3,376.3,380.90000000000003,389.90000000000003,391.90000000000003,395.90000000000003
