,Unnamed: 0,index,block,trial_type,cue,stimulus_intensity,ITI,Event1Dur,ISI1,Event2Dur,ISI2,Event3Dur,ISI3,Event4Dur,cue_image,stim_num,same_diff,image_filename,onset_ITI,onset_ev01,onset_ISI1,onset_ev02,onset_ISI2,onset_ev03,onset_ISI3,onset_ev04
0,26,12,2,5.0,high_cue,med_stim,1.1,1.0,0.8,4.0,7.9,9.0,3.7,4.0,h019.png,43,diff,43_100_R.jpg,1.1,2.1,2.9000000000000004,6.9,14.8,23.8,27.5,31.5
1,62,13,2,2.0,low_cue,med_stim,1.9,1.0,1.5,4.0,0.9,9.0,3.7,4.0,l038.png,39,same,39_100.jpg,33.4,34.4,35.9,39.9,40.8,49.8,53.5,57.5
2,14,14,2,4.0,high_cue,low_stim,3.3,1.0,1.5,4.0,5.7,9.0,6.1,4.0,h033.png,31,same,31_50.jpg,60.8,61.8,63.3,67.3,73.0,82.0,88.1,92.1
3,63,15,2,2.0,low_cue,med_stim,8.6,1.0,1.5,4.0,6.9,9.0,5.9,4.0,l019.png,41,same,41_100.jpg,100.69999999999999,101.69999999999999,103.19999999999999,107.19999999999999,114.1,123.1,129.0,133.0
4,2,16,2,6.0,high_cue,high_stim,3.2,1.0,2.9,4.0,8.6,9.0,5.8,4.0,h009.png,17,same,17_150.jpg,136.2,137.2,140.1,144.1,152.7,161.7,167.5,171.5
5,50,17,2,1.0,low_cue,low_stim,16.3,1.0,1.4,4.0,4.5,9.0,1.6,4.0,l029.png,12,same,12_50.jpg,187.8,188.8,190.2,194.2,198.7,207.7,209.3,213.3
6,38,18,2,3.0,low_cue,high_stim,3.1,1.0,0.8,4.0,4.4,9.0,5.1,4.0,l052.png,17,diff,17_150_R.jpg,216.4,217.4,218.20000000000002,222.20000000000002,226.60000000000002,235.60000000000002,240.70000000000002,244.70000000000002
7,27,19,2,5.0,high_cue,med_stim,5.1,1.0,0.6,4.0,3.4,9.0,2.9,4.0,h005.png,17,same,17_100.jpg,249.8,250.8,251.4,255.4,258.8,267.8,270.70000000000005,274.70000000000005
8,15,20,2,4.0,high_cue,low_stim,4.2,1.0,0.6,4.0,0.9,9.0,9.9,4.0,h023.png,4,diff,4_50_R.jpg,278.90000000000003,279.90000000000003,280.50000000000006,284.50000000000006,285.40000000000003,294.40000000000003,304.30000000000007,308.30000000000007
9,39,21,2,3.0,low_cue,high_stim,1.1,1.0,2.9,4.0,8.6,9.0,4.3,4.0,l010.png,29,diff,29_150_R.jpg,309.4000000000001,310.4000000000001,313.30000000000007,317.30000000000007,325.9000000000001,334.9000000000001,339.20000000000005,343.20000000000005
10,3,22,2,6.0,high_cue,high_stim,2.8,1.0,0.7,4.0,0.7,9.0,4.1,4.0,h046.png,6,same,6_150.jpg,346.00000000000006,347.00000000000006,347.70000000000005,351.70000000000005,352.40000000000003,361.40000000000003,365.50000000000006,369.50000000000006
11,51,23,2,1.0,low_cue,low_stim,3.3,1.0,2.9,4.0,1.7,9.0,1.1,4.0,l033.png,43,same,43_50.jpg,372.80000000000007,373.80000000000007,376.70000000000005,380.70000000000005,382.40000000000003,391.40000000000003,392.50000000000006,396.50000000000006
