,Unnamed: 0,Event1 onset,Event2 onset,Event3 onset,Event4 onset,trial_type,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue,stimulus_intensity,cue_image,onset_ITI,onset_ev01,onset_ISI1,onset_ev02,onset_ISI2,onset_ev03,onset_ISI3,onset_ev04
0,0,0.0,6.8556,11.5318,26.6963,1.0,2.2,0.7,8.4,8.8,1.0,4.0,9.0,4.0,low_cue,low_stim,l021.png,8.8,9.8,12.0,16.0,16.7,25.7,34.1,38.1
1,1,39.5228,41.3684,46.6959,58.649,5.0,0.8,7.3,3.0,1.5,1.0,4.0,9.0,4.0,high_cue,med_stim,h052.png,39.6,40.6,41.4,45.4,52.7,61.7,64.7,68.7
2,2,64.1617,71.0174,76.6938,87.9841,4.0,2.2,1.7,4.5,2.7,1.0,4.0,9.0,4.0,high_cue,low_stim,h048.png,71.4,72.4,74.60000000000001,78.60000000000001,80.3,89.30000000000001,93.80000000000001,97.80000000000001
3,3,93.6477,99.191,103.8671,119.0317,6.0,1.7,0.7,6.2,10.0,1.0,4.0,9.0,4.0,high_cue,high_stim,h005.png,107.80000000000001,108.80000000000001,110.50000000000001,114.50000000000001,115.20000000000002,124.20000000000002,130.4,134.4
4,4,132.0809,135.2907,140.9671,151.8665,2.0,2.2,7.7,1.9,2.7,1.0,4.0,9.0,4.0,low_cue,med_stim,l053.png,137.1,138.1,140.3,144.3,152.0,161.0,162.9,166.9
5,5,158.5244,160.899,166.0118,181.6506,3.0,1.4,7.1,6.6,11.6,1.0,4.0,9.0,4.0,low_cue,high_stim,l050.png,178.5,179.5,180.9,184.9,192.0,201.0,207.60000000000002,211.60000000000002
6,6,196.2091,201.4662,210.5625,221.2674,2.0,1.6,11.1,1.7,1.7,1.0,4.0,9.0,4.0,low_cue,med_stim,l033.png,213.3,214.3,215.90000000000003,219.90000000000003,231.00000000000003,240.00000000000003,241.70000000000002,245.70000000000002
7,7,226.9309,232.4743,237.1504,253.8105,3.0,1.7,6.7,9.9,1.9,1.0,4.0,9.0,4.0,low_cue,high_stim,l025.png,247.60000000000002,248.60000000000002,250.3,254.3,261.0,270.0,279.90000000000003,283.90000000000003
8,8,259.7586,262.9684,268.5572,279.4566,4.0,0.8,1.6,4.1,1.0,1.0,4.0,9.0,4.0,high_cue,low_stim,h040.png,284.90000000000003,285.90000000000003,286.70000000000005,290.70000000000005,292.3,301.3,305.40000000000003,309.40000000000003
9,9,284.4566,289.7137,295.3026,306.5929,6.0,1.6,1.6,2.3,5.8,1.0,4.0,9.0,4.0,high_cue,high_stim,h006.png,315.20000000000005,316.20000000000005,317.8,321.8,323.40000000000003,332.40000000000003,334.70000000000005,338.70000000000005
10,10,315.4359,318.6456,328.7644,339.6638,5.0,0.8,6.1,1.9,2.4,1.0,4.0,9.0,4.0,high_cue,med_stim,h028.png,341.1,342.1,342.90000000000003,346.90000000000003,353.00000000000006,362.00000000000006,363.90000000000003,367.90000000000003
11,11,345.0573,346.9584,352.5473,362.8183,1.0,0.9,1.6,3.5,4.1,1.0,4.0,9.0,4.0,low_cue,low_stim,l052.png,372.00000000000006,373.00000000000006,373.90000000000003,377.90000000000003,379.50000000000006,388.50000000000006,392.00000000000006,396.00000000000006
