,Unnamed: 0,index,block,trial_type,cue,stimulus_intensity,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue_image,video_subject,image_glob,video_filename,onset_ITI,onset_ev01,onset_ISI1,onset_ev02,onset_ISI2,onset_ev03,onset_ISI3,onset_ev04
0,12,0,2,4.0,high_cue,low_stim,1.2,4.7,5.2,5.1,1.0,4.0,9.0,4.0,h040.png,121-vw121,vw121*L.mp4,vw121t1aeaff_L.mp4,5.1,6.1,7.3,11.3,16.0,25.0,30.2,34.2
1,13,1,2,2.0,low_cue,med_stim,1.4,1.4,3.1,0.6,1.0,4.0,9.0,4.0,l054.png,043-jh043,jh043*M.mp4,jh043t2aeunaff_M.mp4,34.800000000000004,35.800000000000004,37.2,41.2,42.6,51.6,54.7,58.7
2,14,2,2,4.0,high_cue,low_stim,1.2,7.0,1.5,5.2,1.0,4.0,9.0,4.0,h003.png,109-ib109,ib109*L.mp4,ib109t1aiunaff_L.mp4,63.900000000000006,64.9,66.10000000000001,70.10000000000001,77.1,86.1,87.6,91.6
3,15,3,2,2.0,low_cue,med_stim,2.5,2.6,6.2,1.1,1.0,4.0,9.0,4.0,l045.png,047-jl047,jl047*M.mp4,jl047t1aiunaff_M.mp4,92.69999999999999,93.69999999999999,96.19999999999999,100.19999999999999,102.8,111.8,118.0,122.0
4,16,4,2,6.0,high_cue,high_stim,0.7,0.6,6.2,1.1,1.0,4.0,9.0,4.0,h054.png,092-ch092,ch092*H.mp4,ch092t2aiaff_H.mp4,123.1,124.1,124.8,128.8,129.4,138.4,144.6,148.6
5,17,5,2,1.0,low_cue,low_stim,2.5,8.2,5.2,0.6,1.0,4.0,9.0,4.0,l029.png,066-mg066,mg066*L.mp4,mg066t2aeunaff_L.mp4,149.2,150.2,152.7,156.7,164.89999999999998,173.89999999999998,179.1,183.1
6,18,6,2,3.0,low_cue,high_stim,1.2,8.2,6.3,1.6,1.0,4.0,9.0,4.0,l001.png,047-jl047,jl047*H.mp4,jl047t1aiaff_H.mp4,184.7,185.7,186.9,190.9,199.1,208.1,214.4,218.39999999999998
7,19,7,2,1.0,low_cue,low_stim,1.2,0.6,6.3,2.2,1.0,4.0,9.0,4.0,l042.png,092-ch092,ch092*L.mp4,ch092t2aeaff_L.mp4,220.59999999999997,221.59999999999997,222.79999999999998,226.79999999999998,227.39999999999998,236.39999999999998,242.7,246.7
8,20,8,2,6.0,high_cue,high_stim,2.5,2.6,3.1,9.8,1.0,4.0,9.0,4.0,h001.png,121-vw121,vw121*H.mp4,vw121t1aaaff_H.mp4,256.5,257.5,260.0,264.0,266.59999999999997,275.59999999999997,278.7,282.7
9,21,9,2,3.0,low_cue,high_stim,1.4,1.6,1.5,6.2,1.0,4.0,9.0,4.0,l041.png,096-bg096,bg096*H.mp4,bg096t1aeaff_H.mp4,288.9,289.9,291.3,295.3,296.9,305.9,307.4,311.4
10,22,10,2,5.0,high_cue,med_stim,1.4,9.7,6.0,14.5,1.0,4.0,9.0,4.0,h033.png,092-ch092,ch092*M.mp4,ch092t2aaaff_M.mp4,325.9,326.9,328.29999999999995,332.29999999999995,342.0,351.0,357.0,361.0
11,23,11,2,5.0,high_cue,med_stim,1.0,7.0,3.2,5.8,1.0,4.0,9.0,4.0,h022.png,096-bg096,bg096*M.mp4,bg096t2aaaff_M.mp4,366.8,367.8,368.8,372.8,379.8,388.8,392.0,396.0
