,Unnamed: 0,index,block,Trial type,cue,stimulus_intensity,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue_image,video_subject,image_glob,video_filename,onset_ITI,onset_ev01,onset_ISI1,onset_ev02,onset_ISI2,onset_ev03,onset_ISI3,onset_ev04
0,0,0,1,2.0,low_cue,med_stim,2.2,4.1,5.1,5.2,1.0,4.0,9.0,4.0,l044.png,043-jh043,jh043*M.mp4,jh043t2aeunaff_M.mp4,5.2,6.2,8.4,12.4,16.5,25.5,30.6,34.6
1,1,1,1,4.0,high_cue,low_stim,1.9,4.1,0.9,3.3,1.0,4.0,9.0,4.0,h032.png,043-jh043,jh043*L.mp4,jh043t2aaunaff_L.mp4,37.9,38.9,40.8,44.8,48.9,57.9,58.8,62.8
2,2,2,1,6.0,high_cue,high_stim,1.9,11.2,5.0,5.2,1.0,4.0,9.0,4.0,h015.png,121-vw121,vw121*H.mp4,vw121t1aaaff_H.mp4,68.0,69.0,70.89999999999999,74.89999999999999,86.1,95.1,100.1,104.1
3,3,3,1,2.0,low_cue,med_stim,1.8,1.7,0.5,1.9,1.0,4.0,9.0,4.0,l036.png,121-vw121,vw121*M.mp4,vw121t1aiaff_M.mp4,106.0,107.0,108.8,112.8,114.5,123.5,124.0,128.0
4,4,4,1,4.0,high_cue,low_stim,0.6,4.1,0.6,3.3,1.0,4.0,9.0,4.0,h022.png,107-hs107,hs107*L.mp4,hs107t2aeunaff_L.mp4,131.3,132.3,132.9,136.9,141.0,150.0,150.6,154.6
5,5,5,1,3.0,low_cue,high_stim,1.3,1.0,8.8,7.2,1.0,4.0,9.0,4.0,l052.png,107-hs107,hs107*H.mp4,hs107t1afaff_H.mp4,161.79999999999998,162.79999999999998,164.1,168.1,169.1,178.1,186.89999999999998,190.89999999999998
6,6,6,1,1.0,low_cue,low_stim,1.0,3.5,5.2,3.3,1.0,4.0,9.0,4.0,l013.png,124-dn124,dn124*L.mp4,dn124t1aaunaff_L.mp4,194.2,195.2,196.2,200.2,203.7,212.7,217.89999999999998,221.89999999999998
7,7,7,1,5.0,high_cue,med_stim,1.4,3.5,3.1,0.8,1.0,4.0,9.0,4.0,h010.png,064-ak064,ak064*M.mp4,ak064t1aiaff_M.mp4,222.7,223.7,225.09999999999997,229.09999999999997,232.59999999999997,241.59999999999997,244.7,248.7
8,8,8,1,3.0,low_cue,high_stim,1.0,1.7,6.5,3.6,1.0,4.0,9.0,4.0,l025.png,043-jh043,jh043*H.mp4,jh043t2aeaff_H.mp4,252.29999999999998,253.29999999999998,254.29999999999998,258.3,260.0,269.0,275.5,279.5
9,9,9,1,5.0,high_cue,med_stim,1.9,4.2,3.2,6.3,1.0,4.0,9.0,4.0,h033.png,107-hs107,hs107*M.mp4,hs107t2aaaff_M.mp4,285.8,286.8,288.7,292.7,296.9,305.9,309.1,313.1
10,10,10,1,1.0,low_cue,low_stim,1.8,4.2,8.8,3.3,1.0,4.0,9.0,4.0,l005.png,120-kz120,kz120*L.mp4,kz120t2aaunaff_L.mp4,316.40000000000003,317.40000000000003,319.20000000000005,323.20000000000005,327.40000000000003,336.40000000000003,345.20000000000005,349.20000000000005
11,11,11,1,6.0,high_cue,high_stim,1.4,10.7,6.2,10.5,1.0,4.0,9.0,4.0,h044.png,123-jh123,jh123*H.mp4,jh123t1aeaff_H.mp4,359.70000000000005,360.70000000000005,362.1,366.1,376.80000000000007,385.80000000000007,392.00000000000006,396.00000000000006
