,Unnamed: 0,index,block,Trial type,cue,stimulus_intensity,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue_image,video_subject,image_glob,video_filename,onset_ITI,onset_ev01,onset_ISI1,onset_ev02,onset_ISI2,onset_ev03,onset_ISI3,onset_ev04
0,12,0,2,6.0,high_cue,high_stim,0.6,5.9,3.0,6.3,1.0,4.0,9.0,4.0,h051.png,106-nm106,nm106*H.mp4,nm106t1afaff_H.mp4,6.3,7.3,7.8999999999999995,11.899999999999999,17.799999999999997,26.799999999999997,29.799999999999997,33.8
1,13,1,2,1.0,low_cue,low_stim,0.9,7.3,7.8,8.9,1.0,4.0,9.0,4.0,l045.png,106-nm106,nm106*L.mp4,nm106t1aaunaff_L.mp4,42.699999999999996,43.699999999999996,44.599999999999994,48.599999999999994,55.9,64.9,72.69999999999999,76.69999999999999
2,14,2,2,4.0,high_cue,low_stim,1.3,9.0,6.9,7.7,1.0,4.0,9.0,4.0,h053.png,049-bm049,bm049*L.mp4,bm049t1afaff_L.mp4,84.39999999999999,85.39999999999999,86.69999999999999,90.69999999999999,99.69999999999999,108.69999999999999,115.6,119.6
3,15,3,2,5.0,high_cue,med_stim,0.9,1.1,3.5,6.7,1.0,4.0,9.0,4.0,h001.png,101-mg101,mg101*M.mp4,mg101t2aeunaff_M.mp4,126.3,127.3,128.2,132.2,133.29999999999998,142.29999999999998,145.79999999999998,149.79999999999998
4,16,4,2,1.0,low_cue,low_stim,2.2,5.9,6.8,2.8,1.0,4.0,9.0,4.0,l040.png,108-th108,th108*L.mp4,th108t1aaunaff_L.mp4,152.6,153.6,155.79999999999998,159.79999999999998,165.7,174.7,181.49999999999997,185.5
5,17,5,2,3.0,low_cue,high_stim,1.7,1.4,1.5,1.3,1.0,4.0,9.0,4.0,l028.png,049-bm049,bm049*H.mp4,bm049t2aeunaff_H.mp4,186.8,187.8,189.5,193.5,194.9,203.9,205.4,209.4
6,18,6,2,2.0,low_cue,med_stim,1.3,1.7,1.6,1.9,1.0,4.0,9.0,4.0,l037.png,049-bm049,bm049*M.mp4,bm049t2aeaff_M.mp4,211.3,212.3,213.6,217.6,219.3,228.3,229.9,233.9
7,19,7,2,2.0,low_cue,med_stim,1.4,1.1,6.2,2.3,1.0,4.0,9.0,4.0,l012.png,095-tv095,tv095*M.mp4,tv095t2afaff_M.mp4,236.20000000000002,237.20000000000002,238.6,242.6,243.70000000000002,252.7,258.9,262.9
8,20,8,2,3.0,low_cue,high_stim,2.2,4.5,6.2,2.3,1.0,4.0,9.0,4.0,l051.png,095-tv095,tv095*H.mp4,tv095t1afaff_H.mp4,265.2,266.2,268.4,272.4,276.9,285.9,292.09999999999997,296.09999999999997
9,21,9,2,4.0,high_cue,low_stim,2.1,3.0,4.5,6.1,1.0,4.0,9.0,4.0,h026.png,095-tv095,tv095*L.mp4,tv095t2aeunaff_L.mp4,302.2,303.2,305.29999999999995,309.29999999999995,312.29999999999995,321.29999999999995,325.79999999999995,329.79999999999995
10,22,10,2,5.0,high_cue,med_stim,1.7,4.5,5.5,6.6,1.0,4.0,9.0,4.0,h015.png,107-hs107,hs107*M.mp4,hs107t2aaaff_M.mp4,336.4,337.4,339.09999999999997,343.09999999999997,347.59999999999997,356.59999999999997,362.09999999999997,366.09999999999997
11,23,11,2,6.0,high_cue,high_stim,1.7,8.7,0.5,1.2,1.0,4.0,9.0,4.0,h007.png,097-gf097,gf097*H.mp4,gf097t2aaunaff_H.mp4,367.29999999999995,368.29999999999995,369.99999999999994,373.99999999999994,382.7,391.7,392.2,396.2
