,video_subject,administer,cue_type,cue_image,random_order,cond_type,condition_name,condition_num_filled_in_during_exper,image_glob,video_filename
0,095-tv095,low,high,h001.png,0,2,vicarious,99,tv095*L.mp4,tv095t2aeunaff_L.mp4
1,109-ib109,low,low,h015.png,1,1,vicarious,99,ib109*L.mp4,ib109t1aiunaff_L.mp4
2,101-mg101,low,high,h030.png,2,2,vicarious,99,mg101*L.mp4,mg101t2afunaff_L.mp4
3,115-jy115,low,low,h036.png,3,1,vicarious,99,jy115*L.mp4,jy115t1aaunaff_L.mp4
4,049-bm049,low,high,h048.png,4,2,vicarious,99,bm049*L.mp4,bm049t1afaff_L.mp4
5,103-jk103,low,low,l021.png,5,1,vicarious,99,jk103*L.mp4,jk103t1aaunaff_L.mp4
6,123-jh123,low,high,h018.png,6,2,vicarious,99,jh123*L.mp4,jh123t1aaunaff_L.mp4
7,052-dr052,low,low,h035.png,7,1,vicarious,99,dr052*L.mp4,dr052t1aeunaff_L.mp4
8,096-bg096,low,high,h042.png,8,2,vicarious,99,bg096*L.mp4,bg096t2afunaff_L.mp4
9,124-dn124,low,low,l015.png,9,1,vicarious,99,dn124*L.mp4,dn124t1aaunaff_L.mp4
10,092-ch092,low,high,h052.png,10,2,vicarious,99,ch092*L.mp4,ch092t2aeaff_L.mp4
11,064-ak064,low,low,l053.png,11,1,vicarious,99,ak064*L.mp4,ak064t1afunaff_L.mp4
12,052-dr052,med,high,h053.png,12,4,vicarious,99,dr052*M.mp4,dr052t2aaaff_M.mp4
13,049-bm049,med,low,l001.png,13,3,vicarious,99,bm049*M.mp4,bm049t2aeaff_M.mp4
14,101-mg101,med,high,h056.png,14,4,vicarious,99,mg101*M.mp4,mg101t2aeunaff_M.mp4
15,115-jy115,med,low,l038.png,15,3,vicarious,99,jy115*M.mp4,jy115t1aeaff_M.mp4
16,092-ch092,med,high,h017.png,16,4,vicarious,99,ch092*M.mp4,ch092t2aaaff_M.mp4
17,096-bg096,med,low,h019.png,17,3,vicarious,99,bg096*M.mp4,bg096t2aaaff_M.mp4
18,124-dn124,med,high,h035.png,18,4,vicarious,99,dn124*M.mp4,dn124t1aeunaff_M.mp4
19,095-tv095,med,low,l014.png,19,3,vicarious,99,tv095*M.mp4,tv095t2afaff_M.mp4
20,064-ak064,med,high,h008.png,20,4,vicarious,99,ak064*M.mp4,ak064t1aiaff_M.mp4
21,109-ib109,med,low,h040.png,21,3,vicarious,99,ib109*M.mp4,ib109t1afaff_M.mp4
22,103-jk103,med,high,h028.png,22,4,vicarious,99,jk103*M.mp4,jk103t2aaunaff_M.mp4
23,123-jh123,med,low,h022.png,23,3,vicarious,99,jh123*M.mp4,jh123t2aaaff_M.mp4
24,049-bm049,high,high,h002.png,24,6,vicarious,99,bm049*H.mp4,bm049t2aeunaff_H.mp4
25,124-dn124,high,low,l046.png,25,5,vicarious,99,dn124*H.mp4,dn124t1aiaff_H.mp4
26,109-ib109,high,high,h044.png,26,6,vicarious,99,ib109*H.mp4,ib109t1aiaff_H.mp4
27,123-jh123,high,low,h053.png,27,5,vicarious,99,jh123*H.mp4,jh123t1aeaff_H.mp4
28,095-tv095,high,high,h013.png,28,6,vicarious,99,tv095*H.mp4,tv095t1afaff_H.mp4
29,092-ch092,high,low,l023.png,29,5,vicarious,99,ch092*H.mp4,ch092t2aiaff_H.mp4
30,096-bg096,high,high,h051.png,30,6,vicarious,99,bg096*H.mp4,bg096t1aeaff_H.mp4
31,064-ak064,high,low,h045.png,31,5,vicarious,99,ak064*H.mp4,ak064t1aaaff_H.mp4
32,115-jy115,high,high,h031.png,32,6,vicarious,99,jy115*H.mp4,jy115t2aaaff_H.mp4
33,052-dr052,high,low,l055.png,33,5,vicarious,99,dr052*H.mp4,dr052t1aiaff_H.mp4
34,101-mg101,high,high,h026.png,34,6,vicarious,99,mg101*H.mp4,mg101t2aeaff_H.mp4
35,103-jk103,high,low,h048.png,35,5,vicarious,99,jk103*H.mp4,jk103t1aaaff_H.mp4
