Event1 onset	Event2 onset	Trial type	ISI1	ISI2	Event1Dur	Event2Dur	
0.0000	5.5173	1.0000	1.8477	0.5173	5.0000	10.5000	
17.8650	23.9652	2.0000	2.8126	1.1002	5.0000	10.5000	
37.2778	42.9609	1.0000	4.8320	0.6831	5.0000	10.5000	
58.2930	64.0385	6.0000	1.7887	0.7455	5.0000	10.5000	
76.3272	82.3794	5.0000	2.3118	1.0522	5.0000	10.5000	
95.1911	100.7475	6.0000	1.2366	0.5563	5.0000	10.5000	
112.4841	118.1105	4.0000	1.2366	0.6264	5.0000	10.5000	
129.8471	135.8993	2.0000	1.7887	1.0522	5.0000	10.5000	
148.1880	153.8637	5.0000	1.7753	0.6757	5.0000	10.5000	
166.1390	171.9214	4.0000	2.5034	0.7824	5.0000	10.5000	
184.9248	190.6454	5.0000	1.9363	0.7206	5.0000	10.5000	
203.0816	209.1338	1.0000	1.7753	1.0522	5.0000	10.5000	
221.4091	227.0098	1.0000	2.6294	0.6006	5.0000	10.5000	
240.1391	246.1747	4.0000	2.1636	1.0356	5.0000	10.5000	
258.8383	264.5115	4.0000	3.3366	0.6732	5.0000	10.5000	
278.3481	283.8982	2.0000	1.2130	0.5501	5.0000	10.5000	
295.6112	301.1551	2.0000	2.1477	0.5439	5.0000	10.5000	
313.8027	319.5482	4.0000	1.9363	0.7455	5.0000	10.5000	
331.9845	337.5851	3.0000	1.2522	0.6006	5.0000	10.5000	
349.3373	354.8546	3.0000	2.1863	0.5173	5.0000	10.5000	
367.5409	373.0477	3.0000	2.8126	0.5068	5.0000	10.5000	
386.3602	392.1591	2.0000	2.1863	0.7989	5.0000	10.5000	
404.8455	410.6167	3.0000	2.5034	0.7712	5.0000	10.5000	
423.6201	430.0309	3.0000	1.2130	1.4108	5.0000	10.5000	
441.7438	447.4170	5.0000	5.7262	0.6732	5.0000	10.5000	
463.6432	469.1932	5.0000	2.1636	0.5501	5.0000	10.5000	
481.8569	488.1637	3.0000	1.8477	1.3068	5.0000	10.5000	
500.5114	506.1945	6.0000	3.3366	0.6831	5.0000	10.5000	
520.0312	525.5379	4.0000	1.6267	0.5068	5.0000	10.5000	
537.6646	544.2313	6.0000	2.1636	1.5667	5.0000	10.5000	
556.8950	562.5959	6.0000	2.6294	0.7010	5.0000	10.5000	
575.7253	581.2321	6.0000	2.1477	0.5068	5.0000	10.5000	
593.8797	599.5596	2.0000	2.0132	0.6799	5.0000	10.5000	
612.0728	617.8183	5.0000	1.0764	0.7455	5.0000	10.5000	
629.3947	635.0678	1.0000	1.0349	0.6732	5.0000	10.5000	
646.6027	652.7241	1.0000	1.6677	1.1215	5.0000	10.5000	

