Event1 onset	Event2 onset	Trial type	ISI1	ISI2	Event1Dur	Event2Dur	
0.0000	5.5977	2.0000	1.6271	0.5977	5.0000	8.0000	
15.2247	20.5996	4.0000	3.7462	0.3748	5.0000	8.0000	
32.3458	37.7193	1.0000	2.6517	0.3735	5.0000	8.0000	
48.3710	53.6339	3.0000	2.6517	0.2629	5.0000	8.0000	
64.2855	69.7742	4.0000	4.0000	0.4887	5.0000	8.0000	
81.7742	88.4759	6.0000	4.0000	1.7017	5.0000	8.0000	
100.4759	105.5899	3.0000	3.5419	0.1140	5.0000	8.0000	
117.1318	122.2637	5.0000	1.0446	0.1318	5.0000	8.0000	
131.3083	137.4850	2.0000	4.0000	1.1767	5.0000	8.0000	
149.4850	154.6504	5.0000	4.0000	0.1654	5.0000	8.0000	
166.6504	172.2480	5.0000	4.0000	0.5977	5.0000	8.0000	
184.2480	189.6354	6.0000	4.0000	0.3874	5.0000	8.0000	
201.6354	208.2132	3.0000	3.0496	1.5778	5.0000	8.0000	
219.2628	226.2628	2.0000	3.5419	2.0000	5.0000	8.0000	
237.8047	243.7420	3.0000	3.5130	0.9372	5.0000	8.0000	
255.2550	260.3690	1.0000	3.7462	0.1140	5.0000	8.0000	
272.1153	277.1835	6.0000	3.5419	0.0683	5.0000	8.0000	
288.7255	294.1128	1.0000	1.6757	0.3874	5.0000	8.0000	
303.7885	309.5810	2.0000	1.6757	0.7925	5.0000	8.0000	
319.2566	324.6897	4.0000	0.3557	0.4331	5.0000	8.0000	
333.0454	338.1137	4.0000	4.0000	0.0683	5.0000	8.0000	
350.1137	355.2245	4.0000	0.8664	0.1108	5.0000	8.0000	
364.0909	369.4246	3.0000	4.0000	0.3337	5.0000	8.0000	
381.4246	386.8578	5.0000	2.3158	0.4331	5.0000	8.0000	
397.1735	403.2835	1.0000	4.0000	1.1100	5.0000	8.0000	
415.2835	420.3943	2.0000	0.0683	0.1108	5.0000	8.0000	
428.4626	434.6392	4.0000	4.0000	1.1767	5.0000	8.0000	
446.6392	451.7533	5.0000	3.5419	0.1140	5.0000	8.0000	
463.2952	468.7267	1.0000	4.0000	0.4316	5.0000	8.0000	
480.7267	486.1583	5.0000	1.6271	0.4316	5.0000	8.0000	
495.7854	501.2185	6.0000	3.7462	0.4331	5.0000	8.0000	
512.9647	518.9277	6.0000	1.2334	0.9630	5.0000	8.0000	
528.1611	533.2719	3.0000	2.3566	0.1108	5.0000	8.0000	
543.6285	550.0565	1.0000	2.3158	1.4280	5.0000	8.0000	
560.3723	566.4871	6.0000	4.0000	1.1148	5.0000	8.0000	
578.4871	584.4243	2.0000	0.0962	0.9372	5.0000	8.0000	

