Event1 onset	Event2 onset	Trial type	ISI1	ISI2	Event1Dur	Event2Dur	
0.0000	6.9742	2.0000	1.6741	1.9742	5.0000	10.5000	
19.1483	24.9786	1.0000	1.7536	0.8303	5.0000	10.5000	
37.2322	44.4683	2.0000	3.6508	2.2361	5.0000	10.5000	
58.6191	64.1228	3.0000	1.9201	0.5037	5.0000	10.5000	
76.5429	83.2602	2.0000	2.3394	1.7174	5.0000	10.5000	
96.0996	101.7227	5.0000	4.7909	0.6231	5.0000	10.5000	
117.0137	123.1432	6.0000	1.5003	1.1295	5.0000	10.5000	
135.1435	141.8609	3.0000	2.7667	1.7174	5.0000	10.5000	
155.1276	161.1484	2.0000	5.9214	1.0209	5.0000	10.5000	
177.5698	183.2460	1.0000	5.9214	0.6762	5.0000	10.5000	
199.6674	205.8377	5.0000	4.9676	1.1703	5.0000	10.5000	
221.3053	226.8067	4.0000	2.5193	0.5014	5.0000	10.5000	
239.8260	245.9963	3.0000	1.5179	1.1703	5.0000	10.5000	
258.0142	263.5156	2.0000	2.6610	0.5014	5.0000	10.5000	
276.6766	282.2998	6.0000	2.4540	0.6231	5.0000	10.5000	
295.2537	302.6153	3.0000	3.2651	2.3616	5.0000	10.5000	
316.3805	323.7421	1.0000	6.0000	2.3616	5.0000	10.5000	
340.2421	345.8341	4.0000	6.0000	0.5920	5.0000	10.5000	
362.3341	367.9105	1.0000	2.2047	0.5763	5.0000	10.5000	
380.6152	386.3236	5.0000	5.9214	0.7084	5.0000	10.5000	
402.7449	408.7658	1.0000	4.9676	1.0209	5.0000	10.5000	
424.2334	430.0038	4.0000	4.7909	0.7704	5.0000	10.5000	
445.2947	450.9643	4.0000	2.6610	0.6696	5.0000	10.5000	
464.1254	471.0996	4.0000	1.0336	1.9742	5.0000	10.5000	
482.6332	488.7627	5.0000	1.2383	1.1295	5.0000	10.5000	
500.5009	507.0356	5.0000	1.9201	1.5346	5.0000	10.5000	
519.4557	525.1253	3.0000	4.9676	0.6696	5.0000	10.5000	
540.5929	546.2691	6.0000	1.5367	0.6762	5.0000	10.5000	
558.3058	564.1361	3.0000	2.5193	0.8303	5.0000	10.5000	
577.1554	583.8996	2.0000	2.2047	1.7442	5.0000	10.5000	
596.6044	602.8972	6.0000	4.9676	1.2928	5.0000	10.5000	
618.3648	625.1090	1.0000	1.7974	1.7442	5.0000	10.5000	
637.4064	643.0190	6.0000	3.6508	0.6125	5.0000	10.5000	
657.1698	663.7044	4.0000	1.6741	1.5346	5.0000	10.5000	
675.8785	683.2401	5.0000	2.4540	2.3616	5.0000	10.5000	
696.1941	702.3601	6.0000	1.4232	1.1660	5.0000	10.5000	

